gene,label
TOP2A,positive
POLA1,positive
MDM4,positive
TUBB8,positive
TUBB2B,positive
TUBB4B,positive
TUBA1A,positive
TBL1XR1,positive
TUBA1C,positive
TUBA4A,positive
RRM1,positive
VEGFA,positive
PARP3,positive
NOTCH2,positive
TUBA3E,positive
FGFR3,positive
TUBA3D,positive
ERBB3,positive
TUBB6,positive
LPAR3,positive
POLD1,positive
TUBB2A,positive
RRM2B,positive
TUBB,positive
POLE,positive
TUBB3,positive
DROSHA,positive
CDKN1A,positive
RRM2,positive
BCL2,positive
PARP1,positive
TSC1,positive
LPAR2,positive
TERT,positive
TUBB1,positive
NOTCH1,positive
PARP2,positive
TUBA1B,positive
NR1I2,positive
ZNF479,positive
TOP1MT,positive
RUVBL1,negative
KIR3DL1,negative
ANO6,negative
CD48,negative
PPP1R1B,negative
TTYH3,negative
KRT81,negative
MAN2A2,negative
MARS,negative
H2BFM,negative
LCE3D,negative
IFI44,negative
COIL,negative
HTN1,negative
NDUFB2,negative
ALKBH2,negative
TYRO3,negative
PROM1,negative
NUDC,negative
FAM210B,negative
ATP1A2,negative
TMPRSS3,negative
GLYAT,negative
TCTN1,negative
BPIFB3,negative
ASPA,negative
IL22RA2,negative
UBTD2,negative
CRYBA1,negative
NUDCD3,negative
SHLD1,negative
FOXP4,negative
BIN2,negative
CLIP4,negative
CALN1,negative
C14orf93,negative
PHACTR2,negative
FAM118A,negative
REXO1,negative
HMBOX1,negative
CPLANE1,negative
SMARCA4,negative
SPA17,negative
BLOC1S2,negative
EMP1,negative
NUP62,negative
CTRB1,negative
ZDHHC20,negative
CERS2,negative
IFIT5,negative
KLK8,negative
CCDC144A,negative
ZNF75A,negative
CEACAM1,negative
PYGO2,negative
PTPDC1,negative
RNF2,negative
ZEB1,negative
ARHGDIB,negative
ATP5F1D,negative
RFX5,negative
PTP4A2,negative
RALGPS2,negative
A2ML1,negative
UQCR10,negative
DDX46,negative
CYP4F11,negative
RGS1,negative
EXOSC1,negative
IL6,negative
MAEL,negative
YIF1A,negative
FAM74A4,negative
DOK7,negative
HIST1H2BN,negative
ITGB8,negative
DYDC2,negative
SELPLG,negative
BTLA,negative
STAM,negative
FGFRL1,negative
ARHGEF2,negative
TUBE1,negative
PDCD2,negative
INTS4,negative
ZBTB18,negative
ADCY6,negative
PLAGL2,negative
ZSCAN25,negative
EIF4G2,negative
CD163,negative
ABAT,negative
