gene,label
CCND1,positive
TUBB8,positive
TUBB2B,positive
TUBA1A,positive
TUBA4A,positive
TUBA3E,positive
PARP3,positive
S1PR4,positive
ETV6,positive
SLC19A1,positive
GPER1,positive
CYP19A1,positive
TUBB3,positive
EP300,positive
S1PR1,positive
CTCF,positive
GATA3,positive
CDH1,positive
AKT2,positive
MTOR,positive
NTRK3,positive
ERBB2,positive
CASP8,positive
CDKN1B,positive
RRM1,positive
TUBA1C,positive
SMARCD1,positive
TUBA3D,positive
DHFR,positive
TUBB6,positive
CDK4,positive
MAP2K4,positive
FKBP1A,positive
ARID1B,positive
PARP1,positive
TP53,positive
EGFR,positive
BAP1,positive
PPM1D,positive
NR1I2,positive
MAP3K13,positive
ESR1,positive
LPAR3,positive
PBRM1,positive
PIK3CA,positive
NR3C1,positive
KEAP1,positive
CDK6,positive
RB1,positive
RRM2B,positive
CCR2,positive
FBLN2,positive
RRM2,positive
TYMS,positive
LPAR2,positive
MAP3K1,positive
FOLH1,positive
TUBB1,positive
DRD2,positive
PARP2,positive
AKT3,positive
AKT1,positive
CHRM1,positive
TOP2A,positive
POLA1,positive
TUBB4B,positive
TBX3,positive
BARD1,positive
TACR1,positive
GNRHR,positive
POLD1,positive
TUBB2A,positive
PGR,positive
BRCA2,positive
TUBB,positive
POLE,positive
ESR2,positive
FDPS,positive
FOXA1,positive
BCL2,positive
DRD4,positive
NCOR1,positive
NOTCH1,positive
SALL4,positive
FLNA,positive
ARID1A,positive
TUBA1B,positive
ACTC1,negative
ANAPC15,negative
LARS2,negative
TUSC2,negative
C9orf78,negative
HIF1A,negative
MYEOV,negative
IGHMBP2,negative
TULP4,negative
DPP10,negative
SLC35E2A,negative
CCDC154,negative
TOM1,negative
DKK1,negative
ZGPAT,negative
GTPBP3,negative
PPP1R18,negative
SYT13,negative
EXO1,negative
PPP2R5B,negative
NDUFS2,negative
ZSCAN23,negative
TMEM216,negative
PAX5,negative
SGK2,negative
PDK4,negative
DENND4A,negative
STX6,negative
PIP5K1A,negative
GALNT16,negative
H2BFM,negative
PDE7B,negative
DSTYK,negative
CPED1,negative
HLA-B,negative
PPBP,negative
CDADC1,negative
TMEM169,negative
PPP1R3A,negative
GSTO1,negative
NBL1,negative
CXCL10,negative
MX1,negative
BCL2L10,negative
PXN,negative
HIST1H2BI,negative
MEX3C,negative
HIST1H2AL,negative
BCL10,negative
DSCC1,negative
ATAD3B,negative
MBTPS2,negative
GDF5,negative
CSNK1G3,negative
HENMT1,negative
GADD45A,negative
ROM1,negative
KCNIP1,negative
RABGGTB,negative
EPM2AIP1,negative
TUBGCP6,negative
VAMP2,negative
ALPK1,negative
SMARCA1,negative
CSNK2B,negative
NKAPL,negative
FAM207A,negative
BPIFB3,negative
ATP6V1H,negative
UBTD2,negative
TRIM50,negative
IQCN,negative
EXOC4,negative
NEK4,negative
SLC27A2,negative
PPWD1,negative
ERAL1,negative
ANK2,negative
BECN1,negative
SERINC1,negative
ATG3,negative
DZANK1,negative
TMC6,negative
MAP4K2,negative
HOOK2,negative
SUSD4,negative
EXOSC2,negative
IFI6,negative
TAS2R7,negative
MSH5,negative
SH3TC1,negative
SEC61A2,negative
ZPR1,negative
ADCY10,negative
ZFAT,negative
DACT2,negative
IGFBP6,negative
EMC9,negative
GPAT3,negative
RHOF,negative
IL7R,negative
SNRPD2,negative
SEMG1,negative
CD9,negative
NCOR2,negative
RBSN,negative
A1BG,negative
ATG2A,negative
UBE2W,negative
FRS2,negative
SOGA1,negative
SLC12A8,negative
STAT1,negative
SEC31B,negative
EFL1,negative
TXNDC12,negative
TRPA1,negative
MRPL32,negative
PIAS3,negative
CHCHD4,negative
ACY1,negative
RNF220,negative
RPS14,negative
GK2,negative
BEGAIN,negative
ANXA6,negative
GRAMD2B,negative
RNF2,negative
PLA2G6,negative
SEMA3C,negative
OSBPL9,negative
DPAGT1,negative
HABP4,negative
CNTN1,negative
ZNF662,negative
ZFC3H1,negative
DET1,negative
TMEM68,negative
IQGAP2,negative
IP6K2,negative
ELF1,negative
CPNE8,negative
CCT4,negative
TPD52L3,negative
HDHD5-AS1,negative
HSD17B3,negative
ITK,negative
WASF3,negative
DDX46,negative
BTBD2,negative
PARD6G,negative
TMEM181,negative
NME6,negative
ARG1,negative
SLC6A3,negative
ZMAT5,negative
TMPRSS4,negative
VWDE,negative
RGPD6,negative
SYS1,negative
CRH,negative
PRKAR2B,negative
TPI1,negative
ZNF503,negative
MSL1,negative
KPNA3,negative
AGAP3,negative
PNMA2,negative
DRG2,negative
CKS2,negative
CTCFL,negative
FKBP3,negative
RPS15,negative
LYNX1,negative
DDA1,negative
CCDC93,negative
MASP1,negative
C4orf19,negative
CLVS1,negative
TEX101,negative
SPNS1,negative
ZNF140,negative
ARFGEF1,negative
RING1,negative
MAPK6,negative
MAPT,negative
ESD,negative
CORT,negative
RHBDL3,negative
FAM200A,negative
COL1A2,negative
SPRY4,negative
ATP5MG,negative
ARL1,negative
CLEC2B,negative
ISCA2,negative
NDEL1,negative
SPATA7,negative
COX10,negative
CRISP3,negative
CDKN2D,negative
STAC,negative
SNORA63,negative
SH3PXD2B,negative
RETREG3,negative
GFPT2,negative
NRIP2,negative
SOCS4,negative
FRA10AC1,negative
HMGN2,negative
SLAIN2,negative
RBM23,negative
TNFRSF8,negative
SLCO4C1,negative
MMS19,negative
PNKP,negative
ABRACL,negative
C19orf44,negative
FGFR4,negative
CCNK,negative
DCSTAMP,negative
HM13,negative
ARRB1,negative
IL27,negative
ZNF419,negative
LINS1,negative
RARS,negative
HIST3H3,negative
PCDHGC4,negative
CD8B,negative
ABCB11,negative
MACO1,negative
WDFY1,negative
ZNF600,negative
STK24,negative
FAM171A1,negative
NFATC4,negative
AMOTL1,negative
GPN2,negative
NMNAT1,negative
CAPN15,negative
NRG1,negative
APP,negative
TECR,negative
SCGN,negative
HCST,negative
DNLZ,negative
COPA,negative
APCS,negative
HPGD,negative
ABCB4,negative
SUN2,negative
VSTM2L,negative
MINK1,negative
MUTYH,negative
ST6GALNAC4,negative
RIN2,negative
TATDN1,negative
PCDHGC5,negative
PRTFDC1,negative
PTDSS1,negative
CEBPE,negative
MAGEA2,negative
EXOC5,negative
MYH9,negative
ARHGAP31,negative
EML2,negative
TSTA3,negative
C2,negative
RHOT2,negative
FLNB,negative
TOMM5,negative
TAC1,negative
ARHGAP1,negative
SLC6A15,negative
BSPRY,negative
ADAM15,negative
ATRNL1,negative
SLC22A11,negative
REG3A,negative
CTSF,negative
INHBE,negative
IKZF2,negative
EIF4E,negative
PMM1,negative
UBAP1,negative
LANCL1,negative
FAM221A,negative
SPP1,negative
EPHB1,negative
TXNDC2,negative
GINS3,negative
WDR63,negative
GMIP,negative
TPX2,negative
NABP2,negative
SSR3,negative
GCK,negative
HTR3E,negative
PPP1R17,negative
CA2,negative
CYP4F12,negative
STAP2,negative
GMPR,negative
NUDT9,negative
PPFIA3,negative
GIT2,negative
SSNA1,negative
NHLH2,negative
FGFR1OP,negative
FOXP2,negative
TENT5B,negative
PLEKHG5,negative
IL20RA,negative
FGA,negative
RPS20,negative
BET1L,negative
SFPQ,negative
FAM214B,negative
CCDC184,negative
PPP1R2,negative
TNIP2,negative
CABIN1,negative
STAMBPL1,negative
KIF21B,negative
TMEM209,negative
KIAA1107,negative
ZNF646,negative
YPEL1,negative
SST,negative
AKAP3,negative
FUT2,negative
CHRM2,negative
CD109,negative
ADRM1,negative
BTBD16,negative
PEX11A,negative
TMBIM4,negative
CORO1A,negative
AK7,negative
TNFAIP1,negative
F11,negative
AHI1,negative
PPP1R7,negative
MAATS1,negative
XPNPEP1,negative
ULK2,negative
SF3A2,negative
PSG9,negative
UHMK1,negative
ALDH1A3,negative
CRABP1,negative
BUD31,negative
PANK1,negative
CACNB3,negative
LTB4R,negative
DISP3,negative
CCDC148,negative
BTBD7,negative
PRR5L,negative
PEX10,negative
TIMP4,negative
IRF7,negative
SLC29A3,negative
DR1,negative
BRK1,negative
NUDT5,negative
CNNM4,negative
NDUFAF2,negative
CDCA5,negative
PATJ,negative
ATP5ME,negative
EXT1,negative
ACTR1A,negative
ZBTB4,negative
RPS12,negative
ZFYVE1,negative
NDUFAF3,negative
VDR,negative
PLXDC1,negative
USP20,negative
CA11,negative
ACTB,negative
SAMSN1,negative
ATG16L1,negative
ZNF512B,negative
RPL26,negative
UXS1,negative
ZNF462,negative
SLC9A9,negative
SRP72,negative
TTC36,negative
ECHDC2,negative
SMAD1,negative
CCL3,negative
IL1F10,negative
COX18,negative
