gene,label
KRAS,positive
FGFR2,positive
RAD17,positive
HIF1A,positive
BAZ1A,positive
MAX,positive
MSH6,positive
BAX,positive
CTLA4,positive
TEK,positive
VTI1A,positive
ARHGAP5,positive
FLT1,positive
RSPO3,positive
TBL1XR1,positive
DDR2,positive
GUCY2C,positive
VEGFA,positive
BCL9L,positive
SFRP4,positive
PDCD1,positive
EPHA2,positive
LEPROTL1,positive
CHRM1,positive
ERBB3,positive
USP44,positive
B2M,positive
EIF3E,positive
MAP2K4,positive
AXIN2,positive
TYMP,positive
FBXW7,positive
RAF1,positive
PIK3CA,positive
PDGFRB,positive
MSH2,positive
KDR,positive
PIK3R1,positive
PTPRT,positive
RET,positive
POLE,positive
UBR5,positive
SIRPA,positive
CUX1,positive
TCF7L2,positive
TGFBR2,positive
ROBO2,positive
KIT,positive
ABL1,positive
EP300,positive
STAG1,positive
SMAD3,positive
MLH1,positive
FBLN2,positive
TYMS,positive
PRPF40B,positive
FLT4,positive
FRK,positive
MAP2K1,positive
TP53,positive
GRIN2A,positive
PDGFRA,positive
EGFR,positive
CTNNB1,positive
PRDM2,positive
BRAF,positive
ZNRF3,positive
QKI,positive
SALL4,positive
GLRB,positive
VEGFB,positive
PGF,positive
SRC,positive
MDM2,positive
AKT1,positive
SMAD4,positive
MAPK11,positive
FGFR1,positive
RSPO2,positive
NTRK1,positive
PTPRK,positive
APC,positive
ARHGEF10,positive
ERGIC1,negative
PRKCG,negative
LILRB2,negative
ZCWPW1,negative
ANKRD23,negative
ITPRIPL2,negative
ARAP1,negative
ZNF77,negative
CCDC102A,negative
TMEM43,negative
SLC5A12,negative
CCDC88C,negative
CDC45,negative
ACVRL1,negative
NCOA4,negative
TUBA4A,negative
TRMO,negative
DLST,negative
SUSD1,negative
KLHDC9,negative
AIRE,negative
COL4A3BP,negative
SNX24,negative
SLIT3,negative
FASTK,negative
PPP1R1B,negative
BIK,negative
IGFBP5,negative
NDUFS2,negative
S1PR2,negative
AGR3,negative
UBXN1,negative
DNAJC14,negative
QDPR,negative
MARS,negative
TAS2R8,negative
KSR1,negative
SEC24D,negative
KIF20B,negative
NT5DC3,negative
DNAJA3,negative
PSKH2,negative
PUM2,negative
M6PR,negative
IFI44,negative
LOXL1,negative
MX1,negative
ULK1,negative
RAB3C,negative
PNPO,negative
GNAQ,negative
CABP4,negative
NOP56,negative
CXXC4,negative
UBA3,negative
PITHD1,negative
MED7,negative
NFE2L2,negative
TAS2R13,negative
TMTC2,negative
USP36,negative
RABAC1,negative
GDPD3,negative
KRT82,negative
LCE3C,negative
ZNF138,negative
ERCC3,negative
IPO9,negative
DRAP1,negative
PGAP1,negative
ZNRF2,negative
NRIP3,negative
POLB,negative
CHMP7,negative
STX5,negative
TNFSF10,negative
GFOD2,negative
RAB7A,negative
GATAD1,negative
EFS,negative
CD96,negative
COX8A,negative
KIFC1,negative
UFSP2,negative
EPHB2,negative
MGMT,negative
ANK3,negative
SRPK1,negative
CTF1,negative
CALN1,negative
CHP2,negative
TUFM,negative
RXFP4,negative
OXSM,negative
PODXL2,negative
RUFY2,negative
ALOX15,negative
BTBD8,negative
FAHD2B,negative
DZANK1,negative
MRPL50,negative
CBLC,negative
LCMT2,negative
CIR1,negative
CELF4,negative
VDAC3,negative
SOBP,negative
HPS5,negative
ELOF1,negative
KHK,negative
IGF2BP3,negative
KRT6A,negative
UBR4,negative
RHOF,negative
HSPA4L,negative
RFC4,negative
LMX1B,negative
UBE2W,negative
ZNF669,negative
KCTD9,negative
RC3H1,negative
NR6A1,negative
ZNF257,negative
RNPEP,negative
CTNNBIP1,negative
TXNDC12,negative
CASP6,negative
TEX10,negative
EHD3,negative
RNF220,negative
CEACAM1,negative
ANGPTL2,negative
TAFA4,negative
FGF5,negative
NTN4,negative
CAPRIN2,negative
GOLPH3,negative
NUBPL,negative
GPC5,negative
HSD17B1,negative
THAP5,negative
RFX5,negative
GMCL1,negative
C9orf131,negative
CREB3L2,negative
RAB18,negative
NR3C1,negative
RAB14,negative
KEAP1,negative
CHL1,negative
DMXL2,negative
MORC1,negative
VPS13C,negative
FNIP1,negative
MYCL,negative
PRSS16,negative
MKX,negative
DLK1,negative
FAM74A4,negative
RPL17,negative
LUC7L2,negative
GPR39,negative
KPNA3,negative
RBMS1,negative
TNFRSF10C,negative
AKIRIN2,negative
ITCH,negative
ABT1,negative
B3GALT6,negative
CD36,negative
CCDC77,negative
COMMD10,negative
RRP12,negative
BRAT1,negative
SOCS5,negative
PNPLA5,negative
SLC39A3,negative
SIRPD,negative
TMEM74,negative
KRT73,negative
IL16,negative
CCDC85C,negative
