gene,label
PLK4,positive
CTLA4,positive
FLT3,positive
LCK,positive
FLT1,positive
FGFR3,positive
VEGFA,positive
PDCD1,positive
PTPRD,positive
CD274,positive
PDGFRB,positive
RAF1,positive
CSF1R,positive
CSF1,positive
KDR,positive
RET,positive
FKBP1A,positive
ITK,positive
AURKB,positive
KIT,positive
MET,positive
VEGFC,positive
AKT2,positive
FLT4,positive
PDGFRA,positive
MTOR,positive
BRAF,positive
VEGFB,positive
AKT3,positive
AKT1,positive
PDGFB,positive
FGFR1,positive
TDRD5,negative
LRRFIP1,negative
GPR55,negative
IMPAD1,negative
GPN2,negative
BCL2L2,negative
BRD7,negative
ADAMTS4,negative
GPC1,negative
DCDC2,negative
DNLZ,negative
SPATA31A3,negative
RIPOR1,negative
LCE1D,negative
CPVL,negative
RPS6KC1,negative
FBXO31,negative
APOL2,negative
AIFM2,negative
KLF9,negative
PAX5,negative
ANKRD65,negative
CDCA8,negative
NSG2,negative
RCOR2,negative
NOCT,negative
GTF2H3,negative
PSKH2,negative
GDF2,negative
P4HTM,negative
BLK,negative
CXCL10,negative
HOXB3,negative
SHISA9,negative
BTC,negative
BTN2A2,negative
LUC7L,negative
FOXC1,negative
CST9,negative
GML,negative
SIK2,negative
FRG1,negative
MED7,negative
DDX4,negative
CYP4A11,negative
SYT3,negative
BCCIP,negative
SYT5,negative
CDH10,negative
PPP3CC,negative
GREM1,negative
RCC1L,negative
HBG2,negative
C6orf62,negative
KRTAP10-9,negative
SAP30L,negative
MRFAP1L1,negative
GFRA4,negative
PRKCB,negative
CNMD,negative
HSPB6,negative
SF3B1,negative
UBE2M,negative
TRIM21,negative
PLA2G4A,negative
ZBTB38,negative
MPDZ,negative
GPRC5A,negative
HIST1H2BM,negative
SLC44A5,negative
XBP1,negative
CENPV,negative
C2orf48,negative
ERCC8,negative
BMP10,negative
CARM1,negative
FBLN7,negative
FBXO46,negative
PSMA6,negative
SP8,negative
DIS3L,negative
CCIN,negative
CHMP3,negative
NMU,negative
CTPS1,negative
ANO9,negative
NIPSNAP3A,negative
MYH7,negative
OLFML3,negative
MAGI1,negative
DNAAF2,negative
ETNPPL,negative
RAB3GAP1,negative
SCOC,negative
CPNE7,negative
ENOX1,negative
MYEF2,negative
OLFML2A,negative
KCTD9,negative
STAT1,negative
POP7,negative
TTC9C,negative
ATF1,negative
ALDH3A1,negative
C5AR2,negative
CMSS1,negative
TEX2,negative
LTB4R,negative
HIST1H2BL,negative
KPNA2,negative
KLK13,negative
C12orf43,negative
MYH15,negative
DLK2,negative
MRPL14,negative
PTPRC,negative
TAB1,negative
EBF4,negative
PCDHGA8,negative
SMO,negative
PRAMEF10,negative
TNFRSF10A,negative
KLRG1,negative
PNMA8B,negative
GBA,negative
CDC20B,negative
FOSL1,negative
RNF25,negative
HTR2A,negative
WNK2,negative
VHLL,negative
NPHS2,negative
TAC3,negative
GUF1,negative
TCHHL1,negative
TTC26,negative
LPGAT1,negative
FAN1,negative
SLX4IP,negative
ZNF398,negative
CEP135,negative
TMEM241,negative
SLF1,negative
C11orf24,negative
KLHDC8B,negative
MAST2,negative
FMO3,negative
CCK,negative
ASAP3,negative
ERG28,negative
TERF2IP,negative
ADPRM,negative
KIF2A,negative
ADAD2,negative
SPATA6L,negative
TRIM55,negative
SPATS1,negative
AXIN1,negative
RARB,negative
FKBP9,negative
LY96,negative
WRAP73,negative
C2orf72,negative
PDLIM3,negative
ACSL3,negative
WDSUB1,negative
TP53TG5,negative
ZFP41,negative
SLC6A9,negative
PLAAT4,negative
CRYBG1,negative
MYF5,negative
PCGF6,negative
MICU1,negative
P2RX2,negative
RRBP1,negative
BBS9,negative
SEPTIN5,negative
ZNF596,negative
CELSR2,negative
TREML1,negative
KLHL32,negative
MT1G,negative
NRXN2,negative
TUBA1B,negative
OXCT2,negative
NAF1,negative
EFNA3,negative
HIST1H4L,negative
CRYGS,negative
RAB10,negative
C16orf90,negative
