gene,label
ERG,positive
TCL1A,positive
CCND1,positive
FLT3,positive
HOXA11,positive
TUBB8,positive
STK24,positive
TUBA1A,positive
DDR2,positive
TUBA4A,positive
BCL2L1,positive
TUBA3E,positive
CD52,positive
BCL2L2,positive
SH3GL1,positive
NOS2,positive
TPM3,positive
CDK2,positive
PML,positive
ETV6,positive
HSD11B1,positive
BCR,positive
MS4A1,positive
NT5C2,positive
PAX5,positive
CNOT3,positive
ZBTB16,positive
TRIM24,positive
BTG1,positive
MYH9,positive
SET,positive
KIT,positive
NUP98,positive
TUBB3,positive
ALK,positive
OLIG2,positive
MLLT6,positive
XPO1,positive
MAP2K1,positive
BLK,positive
SIK2,positive
EPS15,positive
PICALM,positive
GAS7,positive
BCL10,positive
PIK3CB,positive
ETNK1,positive
EWSR1,positive
ELL,positive
LRP1B,positive
STK10,positive
TGFB1,positive
POLB,positive
STAT5B,positive
CHST11,positive
LCK,positive
RRM1,positive
HLF,positive
TUBA1C,positive
CAMK1D,positive
IKZF1,positive
EPHA2,positive
TUBA3D,positive
CBFA2T3,positive
ARNT,positive
ECT2L,positive
DHFR,positive
TAL2,positive
FSTL3,positive
CD3D,positive
LYL1,positive
NCOA2,positive
TUBB6,positive
JAK1,positive
GATA2,positive
TRIP11,positive
FBXW7,positive
HOXA9,positive
CARS,positive
CSF1R,positive
NSD1,positive
SIK1,positive
SLK,positive
ASXL1,positive
PRDM16,positive
RPL5,positive
TOP1,positive
CUX1,positive
ABL1,positive
CLTCL1,positive
NRAS,positive
CCND2,positive
MYH11,positive
DNMT3A,positive
DNM2,positive
CD22,positive
CBLB,positive
CHIC2,positive
FOXO3,positive
IL7R,positive
MCL1,positive
STK4,positive
SETBP1,positive
ATM,positive
NCKIPSD,positive
ZNF521,positive
CD3E,positive
MLF1,positive
AFF3,positive
RARA,positive
MYC,positive
TET1,positive
RAP1GDS1,positive
ABL2,positive
SIK3,positive
LMO2,positive
CCDC6,positive
FUS,positive
SEPTIN9,positive
BIRC3,positive
GMPS,positive
PTPRC,positive
LPAR3,positive
FNBP1,positive
FCGR2B,positive
PDGFRB,positive
CDX2,positive
U2AF1,positive
PER1,positive
NR3C1,positive
RNF213,positive
CDK6,positive
STIL,positive
PIK3CD,positive
ELN,positive
DEK,positive
RRM2B,positive
ITK,positive
CAMK2G,positive
NFKBIE,positive
HIP1,positive
STAG1,positive
MLLT11,positive
RRM2,positive
BCL3,positive
RPL3,positive
FRK,positive
SH2B3,positive
LPAR2,positive
NUMA1,positive
PDGFRA,positive
PBX1,positive
TUBB1,positive
CSF3R,positive
ATIC,positive
KDM5A,positive
RUNX1T1,positive
YES1,positive
MALT1,positive
MLLT3,positive
SRC,positive
MSI2,positive
AFF1,positive
AVPR1B,positive
TAF15,positive
JAK2,positive
RPL22,positive
CBFB,positive
PIK3CG,positive
TOP2A,positive
BCL6,positive
HCK,positive
AVPR1A,positive
RABEP1,positive
LYN,positive
CHD2,positive
DDX10,positive
LASP1,positive
FGR,positive
GPHN,positive
PSIP1,positive
FOXP1,positive
ARHGAP26,positive
MAP3K2,positive
AFF4,positive
ABI1,positive
MAPK1,positive
MECOM,positive
CD19,positive
POLD1,positive
PCM1,positive
PTPN11,positive
TUBB2A,positive
MLLT10,positive
TFG,positive
RPN1,positive
POT1,positive
TUBB,positive
FAT1,positive
IMPDH1,positive
POLE,positive
TNK2,positive
NPM1,positive
MLLT1,positive
TEC,positive
RUNX1,positive
CLP1,positive
BCL11B,positive
LEF1,positive
BCL2,positive
HOXA13,positive
CEBPA,positive
TXK,positive
JAK3,positive
MAP2K2,positive
ZNF384,positive
RAD21,positive
SEPTIN5,positive
TFPT,positive
NOTCH1,positive
BCL9,positive
TUBA1B,positive
TCF3,positive
NUP214,positive
DDR1,positive
CREBBP,positive
FYN,positive
PRRX1,positive
IMMT,negative
RAB24,negative
SQSTM1,negative
AIRE,negative
HAVCR1,negative
MARCH9,negative
CCDC127,negative
SNX24,negative
EME2,negative
MYL12B,negative
SLC16A4,negative
PARP12,negative
HSPA1A,negative
MEN1,negative
CREB1,negative
PRKN,negative
DNAL4,negative
PDK4,negative
PDE7B,negative
ZBTB42,negative
RNF112,negative
KPNA1,negative
LAMTOR2,negative
PLEKHB2,negative
CTC1,negative
PCDHB7,negative
TMEM37,negative
MED7,negative
RABAC1,negative
GDPD3,negative
KCNS3,negative
RPN2,negative
FBXO25,negative
JADE2,negative
NDUFA12,negative
CASP9,negative
AMDHD1,negative
TBC1D1,negative
MFSD14A,negative
RBM42,negative
BAX,negative
IL1RAP,negative
TMEM65,negative
DBNL,negative
USB1,negative
PTPN18,negative
GTF2F2,negative
BIN2,negative
LIMS2,negative
ERAL1,negative
KIDINS220,negative
SLC37A1,negative
PROP1,negative
GALNT4,negative
MAML3,negative
TOR3A,negative
LSM14B,negative
TAF6,negative
NUP155,negative
HPS5,negative
ZFAND2B,negative
PSKH1,negative
GPBP1L1,negative
ZDHHC6,negative
LTBP1,negative
A1BG,negative
USP40,negative
CCDC80,negative
MSS51,negative
COL4A2,negative
ASPH,negative
SLC12A8,negative
EPG5,negative
SF3B5,negative
MBD3,negative
PLEKHH1,negative
PLA2G6,negative
OSBPL9,negative
TMCC2,negative
ATP5F1D,negative
PHF21A,negative
GSG1,negative
GNG12,negative
C6orf226,negative
FAM53A,negative
ARPC2,negative
EBAG9,negative
CSPG5,negative
UFSP1,negative
MTX1,negative
CCDC102B,negative
SUPT20H,negative
C1orf159,negative
BLZF1,negative
ARL15,negative
VPS18,negative
AMMECR1L,negative
HSF2,negative
PGPEP1,negative
DENND6B,negative
PSMA8,negative
SACM1L,negative
PAK6,negative
HINT1,negative
CORT,negative
LEPROTL1,negative
PYCR3,negative
CNOT6L,negative
ANXA8L1,negative
FAM13A,negative
RAB3D,negative
XIRP2,negative
ITGA11,negative
POLR3B,negative
CRISP3,negative
LARGE2,negative
AKNA,negative
RASSF2,negative
NEO1,negative
DUSP2,negative
TRIM3,negative
SYCP2,negative
POLR3C,negative
ADGRE2,negative
SIN3A,negative
ZDHHC3,negative
RFX4,negative
CCNK,negative
MISP,negative
S100A10,negative
NDUFB3,negative
ZDHHC14,negative
ZNF304,negative
UGDH,negative
ZFHX3,negative
CYP2A6,negative
HMGCS1,negative
RASSF7,negative
GZMH,negative
PAPOLG,negative
KMT2E,negative
RPL38,negative
KCNK17,negative
CBLL1,negative
RCOR1,negative
TRIM16,negative
ACD,negative
DGKZ,negative
LENG8,negative
POLN,negative
DEPP1,negative
GABARAPL2,negative
CAMK4,negative
CSMD1,negative
P3H1,negative
TTPAL,negative
HCCS,negative
FAM178B,negative
ST14,negative
ST13,negative
NCBP3,negative
FBXL20,negative
PPP6R2,negative
TXNDC2,negative
WFDC2,negative
MBNL2,negative
KIF14,negative
SEC63,negative
ABCF3,negative
NACAD,negative
RAD54B,negative
TSC22D2,negative
TNXB,negative
DAGLA,negative
CA2,negative
C19orf18,negative
ATPAF2,negative
CAVIN2,negative
ABCA2,negative
LAMTOR5,negative
IL12A,negative
ABCC6,negative
CARNS1,negative
ALG11,negative
CFAP157,negative
FAM86B2,negative
RHOC,negative
SFPQ,negative
VRK1,negative
PKMYT1,negative
CCIN,negative
DOCK8,negative
PCLAF,negative
NCK2,negative
RELL1,negative
DCUN1D4,negative
NUDT14,negative
PGF,negative
MTBP,negative
MCOLN1,negative
SCOC,negative
ADAM17,negative
FAM45A,negative
MORN1,negative
ZNF606,negative
STK40,negative
