gene,label
TOP2A,positive
TOP2B,positive
KRAS,positive
FGFR2,positive
SDC4,positive
HIF1A,positive
LRIG3,positive
DDR2,positive
BIRC6,positive
EED,positive
KIF5B,positive
ERBB4,positive
CCDC6,positive
CSMD3,positive
NRG1,positive
PDCD1,positive
GPC5,positive
LEPROTL1,positive
DHFR,positive
TPM3,positive
USP44,positive
TPR,positive
PTPRD,positive
ROS1,positive
SLC19A1,positive
EML4,positive
CPEB3,positive
EZR,positive
KDR,positive
PTPRT,positive
N4BP2,positive
KEAP1,positive
STK11,positive
RB1,positive
CD74,positive
TFG,positive
RET,positive
FKBP1A,positive
RFWD3,positive
SLC34A2,positive
HIP1,positive
ALK,positive
SOX2,positive
NKX2-1,positive
SMARCA4,positive
AKT2,positive
MAP2K1,positive
TP53,positive
PTPN13,positive
MAP2K2,positive
GRIN2A,positive
EPHA3,positive
CUL3,positive
EGFR,positive
RAD21,positive
MTOR,positive
STRN,positive
BRAF,positive
NOTCH1,positive
BAP1,positive
NFE2L2,positive
PIK3CB,positive
AKT3,positive
ERBB2,positive
AKT1,positive
ZNF479,positive
TOP1MT,positive
C9orf78,negative
SIX1,negative
SGCA,negative
BCL2L1,negative
FAM53B,negative
DLST,negative
AP4B1,negative
VRK3,negative
GATA6,negative
CCDC134,negative
CD48,negative
KRTAP9-2,negative
GOLGA7,negative
RHBDD1,negative
KCTD5,negative
ASTL,negative
GK5,negative
IGF2BP1,negative
KCNJ2,negative
CENPU,negative
SMPD2,negative
LYPD6,negative
NRROS,negative
KRT82,negative
RDH16,negative
LPAR5,negative
GPRIN2,negative
INPP5J,negative
PROM1,negative
KRTAP10-9,negative
UBE2Q2P2,negative
ROR1,negative
CRYAB,negative
AARSD1,negative
PRKCB,negative
SLC39A10,negative
THEM5,negative
HHIP,negative
RAB1B,negative
TADA1,negative
ONECUT2,negative
MRPS31,negative
MRPS18C,negative
PSG1,negative
MGAT2,negative
DOCK5,negative
ANKAR,negative
SPAG4,negative
DDAH1,negative
COPS2,negative
LCMT2,negative
MAP4K2,negative
ABRA,negative
PLXNA3,negative
GPR26,negative
DDIAS,negative
NCR2,negative
SH3TC1,negative
SEC61A2,negative
ZFAT,negative
