gene,label
TOP2A,positive
LRP1B,positive
POLA1,positive
TUBB8,positive
TUBB2B,positive
FOXL2,positive
TUBB4B,positive
TUBA1A,positive
RRM1,positive
TUBA1C,positive
TUBA3E,positive
VEGFA,positive
PARP3,positive
CSMD3,positive
TUBA3D,positive
ATR,positive
PPM1D,positive
PPP2R1A,positive
MAPK1,positive
TUBB6,positive
LPAR3,positive
GOPC,positive
EIF1AX,positive
ROS1,positive
POLD1,positive
MSH2,positive
PIK3R1,positive
PTK6,positive
CDK12,positive
BRCA2,positive
RRM2B,positive
TUBB,positive
FES,positive
RNF43,positive
POLE,positive
TUBB3,positive
ARID1B,positive
MLH1,positive
RRM2,positive
BCL2,positive
AKT2,positive
CASP3,positive
PARP1,positive
CCNE1,positive
LPAR2,positive
TUBB1,positive
CTNNB1,positive
PRDM2,positive
BRAF,positive
BRCA1,positive
PARP2,positive
ARID1A,positive
TUBA1B,positive
ERBB2,positive
AKT1,positive
NR1I2,positive
TOP1MT,positive
FAM209A,negative
TDRD5,negative
TTC30B,negative
LRRC2,negative
ZNF77,negative
ZNF311,negative
DCUN1D5,negative
MDC1,negative
PRLHR,negative
ATAD3C,negative
SCNN1D,negative
SURF1,negative
TEX44,negative
GDE1,negative
MST1,negative
EEPD1,negative
GSDMC,negative
RBM4,negative
HLA-DRB1,negative
SHISA5,negative
CFAP52,negative
TASP1,negative
SH3BGRL2,negative
RARG,negative
RORC,negative
HS2ST1,negative
LRP6,negative
RIMS2,negative
MAP2K1,negative
GLMP,negative
NBL1,negative
ANKHD1,negative
PCOLCE,negative
LCE3C,negative
TYRO3,negative
OLFM3,negative
L3HYPDH,negative
NDUFA12,negative
SYT17,negative
INPP5J,negative
KRTAP10-9,negative
RTBDN,negative
CEP152,negative
RPSA,negative
FIP1L1,negative
PRKCB,negative
PIGU,negative
RAB7A,negative
ZSCAN2,negative
RGPD4,negative
TTL,negative
CCL22,negative
LPO,negative
STT3B,negative
HIST1H2AH,negative
RAB1B,negative
SHE,negative
CALN1,negative
C12orf56,negative
BMP10,negative
PSPN,negative
HASPIN,negative
WWOX,negative
CIR1,negative
CHRNA4,negative
DHRS7B,negative
ZP3,negative
ZIM3,negative
EZH2,negative
C16orf71,negative
SLC25A18,negative
SLC2A9,negative
BMPR2,negative
GALC,negative
MYT1,negative
CTSK,negative
MRPL32,negative
DCLRE1C,negative
ADH1B,negative
YTHDF1,negative
PLCG2,negative
PTPDC1,negative
PRKG2,negative
RNF2,negative
PLA2G6,negative
HIST3H2A,negative
KRT26,negative
KIAA0319L,negative
TJAP1,negative
ICAM3,negative
MARCH4,negative
GORASP1,negative
NR3C1,negative
ZDHHC21,negative
ZNF559,negative
PSMA1,negative
IFIT3,negative
PIH1D2,negative
PARD6G,negative
WNT5B,negative
TP53BP1,negative
FAM83F,negative
EXTL3,negative
NFRKB,negative
GANC,negative
STAC2,negative
AKIRIN2,negative
STAC3,negative
HIST1H2BN,negative
LPGAT1,negative
APLF,negative
MRPL20,negative
MALT1,negative
AMMECR1L,negative
CETN1,negative
C5,negative
MIGA2,negative
NDUFAF8,negative
PRDM7,negative
RIOX2,negative
RAN,negative
SENP8,negative
GPR12,negative
EBP,negative
GRASP,negative
SCGB1A1,negative
CBL,negative
KCNV2,negative
DLD,negative
RPN1,negative
EXOC3-AS1,negative
CRISP3,negative
TP53TG5,negative
RETREG3,negative
TMEM107,negative
SYNC,negative
OMG,negative
CCDC7,negative
SCP2,negative
PTPN23,negative
SELENOW,negative
CES4A,negative
CCNK,negative
XCL2,negative
SMARCD3,negative
SH2D3A,negative
DGCR8,negative
LINS1,negative
STBD1,negative
WDFY1,negative
MACO1,negative
STOX2,negative
SDHB,negative
TBC1D24,negative
CYP2A6,negative
FAIM2,negative
TP53BP2,negative
PRIM1,negative
SCGN,negative
MYO1C,negative
PHYKPL,negative
ICOSLG,negative
MB21D2,negative
CDC26,negative
MARF1,negative
EZR,negative
YBX1,negative
FUZ,negative
IMMP2L,negative
OGFR,negative
TMEFF2,negative
COX11,negative
FLNB,negative
