,essentiality,mutation,expression,e0,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20,e21,e22,e23,e24,e25,e26,e27,e28,e29,e30,e31
essentiality,1.0,-0.07078195383678665,-0.38436498828353616,-0.05745032977438209,0.12065423788650537,-0.09872459009479653,0.14320425332767384,0.17931222688858414,0.1590228206185174,0.013581808602975587,-0.12916869034403194,0.01800979323799262,-0.183642216222614,-0.14045137188319673,-0.26933406899957557,0.1108602771519683,-0.023486688964530204,-0.20847307760853712,0.006291680951448067,-0.09586623084478837,0.11240265091531437,0.16739540308932205,-0.07303915016434301,0.03164959125118359,-0.11934029308290071,-0.20494524677299986,0.024033251910079344,0.15884710930442636,0.14936686107573927,0.13702880628203873,0.009957725549896063,-0.009195572942175205,0.0525790492593681,-0.19742588239135406,0.08526522247526691
mutation,-0.07078195383678665,1.0,0.2551873431067741,-0.0811105000779124,-0.02966031550464686,0.07966982033118067,0.09855010422960145,0.07694571860175876,-0.013634539868359524,-0.004437519309432574,0.11879333103520813,-0.024134913726992484,0.2330445915682462,-0.02653486745915179,0.020266623487238695,0.16122343258819452,-0.07062456929876768,0.16310960958472112,-0.07576724934150322,0.04980516299196067,-0.08633135221942181,0.050428451874127755,0.06786587658492373,-0.08233138730335052,-0.19399352894896696,0.17553813384096562,0.11309925694056014,0.05911928731942959,-0.18454774691001785,-0.043582438416716274,-0.023680710698906905,-0.062170683140861695,-0.04219034457398388,-0.07606192882695013,0.07546050043782646
expression,-0.38436498828353616,0.2551873431067741,1.0,0.10731217191308706,0.03238621849069944,0.04511824951009674,0.09884807267942937,-0.1243763088059714,-0.07244739301135145,-0.009696274294617401,0.010197594744325359,-0.062074870496714035,0.2777387177588175,0.18867761514103884,0.2036883203241997,0.008128602142662193,-0.033512020135804926,0.18097400415320689,0.057043719833749236,0.09151768500018088,-0.08026668443373369,-0.01579116833020509,0.12799733281023545,-0.06729982786795849,-0.09595549608420778,0.11231837551927806,-0.09651824283864596,0.023465817126901538,-0.11586978060161868,-0.20457378628633405,-0.08050599320487778,0.02321516102385289,0.019027888222500816,0.0926049721869332,0.051824633536123696
e0,-0.05745032977438209,-0.0811105000779124,0.10731217191308706,1.0,0.07349724099650634,-0.059743844959784936,0.09073807934992001,0.06287365757066204,-0.059475835251575404,0.12714705366180168,0.1001393361385923,0.10000558636986973,0.06879861077099728,-0.07540230365908077,0.013346832451758245,0.05443764386815555,-0.08815750808110491,-0.04776380249997279,0.06672838032346187,-0.031171433702288833,0.0776288589316616,0.13068780882336936,0.05671075222298408,0.035763183152664864,-0.06413616015552726,-0.18945548453978517,-0.020126279168163168,0.10530026610507068,0.2881762908680794,-0.05791381991380155,-0.08732350642407026,-0.09797111039006975,0.06094372408332517,-0.1123624324533908,0.010370496212492246
e1,0.12065423788650537,-0.02966031550464686,0.03238621849069944,0.07349724099650634,1.0,-0.03426238830661399,0.06352055409986831,-0.09915985078525484,0.17690132991314855,0.049861157026479905,-0.17035452106529098,-0.3273319820610355,0.2177823336027035,-0.037334934249191896,-0.0480288362120569,0.008403617858969752,0.021136927452356853,-0.12797076687508843,-0.009772278477051838,-0.07523994181332376,0.10562401196928636,0.030165929639969093,-0.0585832489851003,0.14812931434409726,0.05600680159663042,-0.007995651304404609,-0.13103821111002273,0.024391519329349923,-0.026601409023628394,0.003465207374212298,0.052993180377335906,0.2424776171079984,0.028772398197124543,0.17024007275715328,-0.14425622544378053
e2,-0.09872459009479653,0.07966982033118067,0.04511824951009674,-0.059743844959784936,-0.03426238830661399,1.0,0.21147164879028307,-0.00905744420772521,-0.19077750704715885,0.07924941636464558,0.19406866116226423,0.22503054222309293,-0.01891806725547175,-0.010360420339896167,0.12839089249953745,0.04965696117804552,0.17045349419357647,-0.09208782113549047,-0.11716377705945735,0.23031038449189714,-0.03016550449766546,0.06362029248430034,0.08815967630685342,0.004336621553966545,-0.01444948153045788,-0.010898395410911942,0.23201460993023584,-0.0035767647146852993,0.15572052777505685,-0.017942238125945514,-0.06105188028536912,-0.015622959316942566,-0.18198458638075338,0.06949018975631524,-0.027522734909829018
e3,0.14320425332767384,0.09855010422960145,0.09884807267942937,0.09073807934992001,0.06352055409986831,0.21147164879028307,1.0,0.11909711168522327,-0.03834660287491429,0.09072039343008892,0.30501014049422626,0.15063361508364081,-0.19302157818264926,-0.09728459059816502,-0.13376809235587334,0.27380180443998214,-0.03920590049901503,-0.2029665494634364,0.020704770300715054,0.03385467683743103,0.15885012781478217,0.281779812338786,0.22375354228567385,0.06990028202239854,-0.10350059621956662,-0.07520448494520085,0.10432911354088442,0.06326993271187734,0.033960027100271004,-0.002356563789031466,-0.19441817065008,-0.10542262206005594,0.012152480178165233,-0.11749173183247896,0.20756867238602103
e4,0.17931222688858414,0.07694571860175876,-0.1243763088059714,0.06287365757066204,-0.09915985078525484,-0.00905744420772521,0.11909711168522327,1.0,0.08253325803212852,-0.049914852499428605,0.1121562809503597,0.250437684001589,-0.125292880532972,-0.10590953754040552,-0.15079325601865456,0.32177120575799134,-0.13213635368030385,0.022931027973683352,0.013283358705826014,-0.02596917990389743,0.10206965225400247,0.26438974903679757,0.0683939178121701,-0.0034407191775231013,-0.26040697342214386,-0.2217134119132356,0.03336091656599297,0.11022456186534757,-0.06584638010034718,0.27807240139419465,-0.12895603416375528,-0.15092849378543988,0.11584456049128765,-0.24568761155734048,0.08596789767470968
e5,0.1590228206185174,-0.013634539868359524,-0.07244739301135145,-0.059475835251575404,0.17690132991314855,-0.19077750704715885,-0.03834660287491429,0.08253325803212852,1.0,0.05270612429392366,-0.011490746182562222,-0.06740244344587021,0.0824597084136002,-0.1316099424799469,-0.0860800077001774,0.023599819331526647,-0.0335792696531383,0.045647018970189704,-0.042820800478336106,-0.12552054423656686,-0.01119437948270045,-0.05219421044612053,-0.02440924776341137,-0.041029420867752846,-0.042128031094567975,0.016633395029984437,0.09231382678410117,0.17775152949195155,0.09250696893264113,-0.12598016558102326,0.06643167350975719,0.2032260563255733,-0.04221794869178612,0.04106827887430481,0.02652356546783339
e6,0.013581808602975587,-0.004437519309432574,-0.009696274294617401,0.12714705366180168,0.049861157026479905,0.07924941636464558,0.09072039343008892,-0.049914852499428605,0.05270612429392366,1.0,0.0027603214347906545,-0.12215133399451464,0.00025695600831510297,-0.23082833536041183,-0.01557360029549091,-0.056138170568452675,0.0522816622179776,-0.09269347886124443,-0.005418311117097112,-0.1443523926328621,0.10427805395021822,-0.03783834525092239,0.13039934977035514,-0.0645369843193914,0.1780879871110458,-0.04166704929473994,-0.043040301449701245,0.018902847161001733,0.12846877856956282,-0.16074677265974466,-0.012986651892121332,-0.07532543793058413,-0.005297825788247843,0.006948185696716402,0.05283587772499211
e7,-0.12916869034403194,0.11879333103520813,0.010197594744325359,0.1001393361385923,-0.17035452106529098,0.19406866116226423,0.30501014049422626,0.1121562809503597,-0.011490746182562222,0.0027603214347906545,1.0,0.1059975419972573,-0.19242833461216138,-0.08984774633765413,0.045388574963811885,0.15503919471925642,-0.12752296448667297,0.03372900477247744,-0.018088827192237786,0.09436700902526093,0.17636883917784962,-0.004361109750655741,0.212391019021887,-0.07779734282659093,-0.18011328001708732,-0.03477039084522371,0.2627881529505556,0.08800598736409052,-0.11929799142368934,0.08423807866969232,-0.21188144345675386,-0.06105013720192422,-0.0513061306880639,-0.07323395036786713,0.21413610063560476
e8,0.01800979323799262,-0.024134913726992484,-0.062074870496714035,0.10000558636986973,-0.3273319820610355,0.22503054222309293,0.15063361508364081,0.250437684001589,-0.06740244344587021,-0.12215133399451464,0.1059975419972573,1.0,-0.2789090389335118,0.0031797668315538567,-0.09025970922987342,0.035504654117826315,-0.2206768299485204,-0.04813741755640448,0.21393517838290832,-0.18952503782065933,0.21262157369314655,0.1432551003471882,0.026569183237013093,-0.015288499866675374,-0.18404673912451977,-0.12026399976600168,0.0868547020058554,0.07136893611029482,-0.14016771693821356,0.16269741057726844,-0.21977097924217193,-0.2324322697293238,0.14152404842949032,-0.19162477314406678,0.23605486478434062
e9,-0.183642216222614,0.2330445915682462,0.2777387177588175,0.06879861077099728,0.2177823336027035,-0.01891806725547175,-0.19302157818264926,-0.125292880532972,0.0824597084136002,0.00025695600831510297,-0.19242833461216138,-0.2789090389335118,1.0,-0.010926582345642734,0.20418139359606446,-0.031108215041738767,0.10167856384889151,0.21154030927231965,0.01911864939432527,0.05380754045994275,-0.18226428750231277,-0.05316778632143751,0.03411937043567223,0.042752182510529924,0.08481061780999335,0.035382425705532156,0.013350233590187312,0.015055351827363655,0.05806623342965357,-0.16187476021974076,0.17934088147984895,0.10515167886995133,-0.16096334014921476,0.1655888884127295,-0.13774351300867427
e10,-0.14045137188319673,-0.02653486745915179,0.18867761514103884,-0.07540230365908077,-0.037334934249191896,-0.010360420339896167,-0.09728459059816502,-0.10590953754040552,-0.1316099424799469,-0.23082833536041183,-0.08984774633765413,0.0031797668315538567,-0.010926582345642734,1.0,0.10089864029287883,-0.11827114521772727,0.01626981333191846,0.08384550226651866,0.11200786377216182,0.15458646068011883,-0.042947322827896955,-0.028961714064931813,-0.0002601020613619831,-0.05224535506524744,0.048246424043055694,0.019247637569247175,0.05816860769636813,-0.008997754228295293,-0.24912760799294736,-0.08963959666579598,-0.002681032395163308,0.21586285861603596,0.045175196041619056,0.005785846638586868,-0.07293197178959741
e11,-0.26933406899957557,0.020266623487238695,0.2036883203241997,0.013346832451758245,-0.0480288362120569,0.12839089249953745,-0.13376809235587334,-0.15079325601865456,-0.0860800077001774,-0.01557360029549091,0.045388574963811885,-0.09025970922987342,0.20418139359606446,0.10089864029287883,1.0,-0.05192960187634005,0.028090172342486477,0.05731509200759678,-0.010308808064235262,-0.055500712198387044,-0.0021171661578563636,-0.13403950320251196,0.10023690629727583,-0.0753174877695062,0.1733820019236839,0.14932013793657012,0.005903313457080353,-0.1323455662079211,-0.11103666869374518,-0.1417205066879986,0.05748438367290299,-0.07944978593234728,-0.10871182052056463,0.11905068614566668,0.012490808423395481
e12,0.1108602771519683,0.16122343258819452,0.008128602142662193,0.05443764386815555,0.008403617858969752,0.04965696117804552,0.27380180443998214,0.32177120575799134,0.023599819331526647,-0.056138170568452675,0.15503919471925642,0.035504654117826315,-0.031108215041738767,-0.11827114521772727,-0.05192960187634005,1.0,-0.0679103609560192,-0.09340495450637237,0.004366764143294042,0.05829687312937386,0.1044416061944254,0.2656727009664675,0.06094168340026773,0.16591901141149967,-0.17799849465613132,-0.05463490989704073,0.055423463841817136,0.05393163949837289,-0.06658298165561977,0.036153336244707825,-0.18780032052328555,-0.115209908060426,-0.00997128758938192,-0.22578678535279328,0.19218851183868266
e13,-0.023486688964530204,-0.07062456929876768,-0.033512020135804926,-0.08815750808110491,0.021136927452356853,0.17045349419357647,-0.03920590049901503,-0.13213635368030385,-0.0335792696531383,0.0522816622179776,-0.12752296448667297,-0.2206768299485204,0.10167856384889151,0.01626981333191846,0.028090172342486477,-0.0679103609560192,1.0,0.06494635384355851,-0.2593322136785625,0.2138504475217945,-0.25375026528879746,-0.13743541238123225,0.0002656714255395553,-0.08882842515046638,0.2388775545950741,0.10976119926861919,0.06889031396589065,-0.17096545055560997,0.13500160023563088,-0.09957338670399757,0.09436632879757513,0.10256200955583852,-0.1976353074901231,0.06572521454381211,-0.07369437948270044
