,essentiality,mutation,expression,e0,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20,e21,e22,e23,e24,e25,e26,e27,e28,e29,e30,e31,label
essentiality,1.0,-0.010824224892864297,-0.3278242489194972,0.03912355134654714,0.06987582455716687,-0.10338762679724037,0.11064607874151335,0.13157511559483592,-0.029134579423371564,0.04349651883517361,0.00135636519468001,-0.07825030807237265,0.02983064580439357,-0.15225157166792472,-0.09154193378515471,0.07426186985854408,0.06973996370739198,0.10572591986102045,0.06812612233787427,0.004295404789108094,0.05655855670212517,0.16276713361017867,0.019630169060016064,-0.015842034871328695,-0.046081049824394246,-0.18140842812029914,0.02629411596078063,0.05930034828829916,0.18081553942579065,0.023602492486906875,-0.004036277615864527,0.022447502684230215,0.0255354031735845,-0.08461937621549967,0.09167873695926629,-0.14245121628817803
mutation,-0.010824224892864297,1.0,0.241293455180715,-0.11973397075560104,0.01219739161754257,-0.1514122419010111,0.12997718308913353,0.00566435077843401,0.1164800887814817,-0.2556763137155862,0.12574844048939307,-0.027686313863601826,0.11822634835889953,0.0020114243466691183,-0.05839834663937651,0.10236302619814314,-0.06963895410360334,0.14526651468233792,-0.07413524102289326,0.02558166243654903,-0.10852154086918261,0.1589591799289577,0.015890177813934238,-0.09721281492218614,-0.16150155045252843,0.14531079258010227,0.024473882782846915,0.10263108311187319,-0.1429840399700876,-0.037093275511758096,-0.04862426897431058,0.062266974757125115,-0.02901792549876125,-0.14171079812516468,0.08886943791947313,0.2180063238239935
expression,-0.3278242489194972,0.241293455180715,1.0,-0.1369163929085475,0.005448044956882558,-0.005830146550435029,0.11371584430324433,-0.04271128263705444,0.1393194455526674,-0.1285877667695262,0.05512086954427256,0.04612031191544217,0.07014946918048938,0.1625761686286423,0.02329103635333949,0.017926730803146773,-0.010805990832737606,-0.04676960381084706,-0.034447755222661296,-0.056525029807549435,-0.02947998936742894,0.1039828163855163,0.04016414004261967,0.04081900261346941,-0.1353837300782767,0.137241573420583,-0.03292923068027779,0.13219796675524415,-0.2077687226130074,-0.024628460863127963,-0.1301088178978713,-0.03109946245175084,0.012867505190304137,0.0074505139649443195,0.0062714334524624805,0.2158594820044339
e0,0.03912355134654714,-0.11973397075560104,-0.1369163929085475,1.0,0.08036597888607305,-0.004879094115720836,-0.031114349604202854,0.11767985723539964,-0.10299878182038213,0.1536440032461061,-0.04349296765995615,0.13098536404795125,-0.05670726227255901,-0.0754531868433042,0.01858147032233264,-0.00258059205842991,-0.065727152680885,-0.08968566249750848,0.0953428210156895,-0.08418140821207894,-0.0049702974173524315,-0.0665396357740824,0.06699431753466784,0.057162144245280336,-0.044040792555311944,-0.12915081134855777,0.046595766358666246,-0.08277914910732082,0.22124993771177995,-0.03678678208377231,-0.020955710406048007,0.010725275135966286,0.012087696474842676,0.03283993351177425,0.014333440409749707,-0.032959463592666244
e1,0.06987582455716687,0.01219739161754257,0.005448044956882558,0.08036597888607305,1.0,-0.025083016849853357,0.11120067217887752,0.01620503680343973,0.11357825358068283,0.0406376667544634,-0.2064929107107264,-0.331891817819414,0.05554436344998434,-0.0495850625729662,-0.00018589474358609442,-0.030642556379737465,0.07717135400353085,0.06163566641276802,-0.0632629684074148,-0.013353620013383067,0.10556368614567613,0.011757697934166691,0.036707431340584865,0.09711904969532162,-0.00988198606879467,-0.1031644284432928,0.0037562688644323574,0.06071463719781316,0.1116436126099832,-0.05063025890543581,-0.056704401463595205,0.12222504200005696,0.13044430632278822,0.015536875516102396,0.15524669249551526,0.046982979447506644
e2,-0.10338762679724037,-0.1514122419010111,-0.005830146550435029,-0.004879094115720836,-0.025083016849853357,1.0,0.019227772893590366,-0.12324613724052508,-0.2936846952504343,0.17492728295224808,0.030223009624419834,0.22006300453458244,-0.08667695905350381,0.024045637689000254,0.06446270626299154,0.17605316477547767,0.06663788654289701,-0.17059856309974658,-0.04942415430393804,0.20752475511831203,-0.026709517995956604,-0.05434286372761184,0.16227753317292634,-0.003995909443606026,-0.005925331551297018,0.05634301855833025,0.1906732066331615,-0.14042683892622226,0.2136723043438025,-0.04202751270679689,-0.04295861036760727,0.01729964104188616,-0.10589536646829353,0.059201745315925855,-0.022591657115806255,-0.31882536595845806
e3,0.11064607874151335,0.12997718308913353,0.11371584430324433,-0.031114349604202854,0.11120067217887752,0.019227772893590366,1.0,0.14569073186878898,0.13068335071471285,4.942125345254629e-05,0.18381530474956576,0.12063680361769982,-0.16474620219824027,-0.12231945759417978,-0.18663148865286597,0.16633902766308836,-0.09041876370340841,-0.05691437060423133,0.06234176567527549,-0.036176775748170506,0.1024356162262593,0.2208917404040548,0.16260758510350523,0.045810645590705884,-0.12468084850793018,0.07383014269341381,0.20382561344998434,0.10462720500298983,0.026543008236282355,-0.050689926571086875,-0.10061662668356161,-0.10336829333836384,-0.009211497871522539,-0.12658992906261568,0.14085180030752584,0.004820807050303053
e4,0.13157511559483592,0.00566435077843401,-0.04271128263705444,0.11767985723539964,0.01620503680343973,-0.12324613724052508,0.14569073186878898,1.0,0.029415660860218112,-0.06982135738489137,0.06092277328511632,0.03206683437028389,-0.019814332163501237,0.0036319237805746193,-0.010268364346934709,-0.012606366034055634,-0.06778854573023149,0.10899965563512629,0.010122383004926107,0.0019540304037700385,0.08836502320681114,0.1648063592713346,0.06041632556450924,0.004700843026566818,-0.160582955451465,-0.1108189610680828,0.02055833380791025,0.15176442951109087,0.037337926051425156,0.13556594186907373,-0.1386125521441385,-0.031948353277428176,0.16347065957886045,-0.09321565605512686,0.14685055632278823,0.1414253874724683
e5,-0.029134579423371564,0.1164800887814817,0.1393194455526674,-0.10299878182038213,0.11357825358068283,-0.2936846952504343,0.13068335071471285,0.029415660860218112,1.0,-0.05783374028303767,0.10888581501466443,0.0023600294712264012,-0.08648381218144024,-0.07575567178735157,-0.030656206398245966,-0.03450705547566844,-0.06557672662945985,-0.055299886635439506,-0.10385405692075514,-0.2301247277114952,0.011169145441214154,0.08404415167003618,-0.007822483911842593,0.053304688167373784,-0.04650358424214812,0.1238025935035166,0.16911220155044276,0.18121061159913437,-0.010441605683533126,0.03279436967880635,0.07083225070474672,-0.06259434885674421,-0.02876570552977021,-0.05463923997693556,-0.049844920128705256,0.1625808909132243
e6,0.04349651883517361,-0.2556763137155862,-0.1285877667695262,0.1536440032461061,0.0406376667544634,0.17492728295224808,4.942125345254629e-05,-0.06982135738489137,-0.05783374028303767,1.0,-0.11113957188416526,-0.1273200048406845,-0.06806482068111279,-0.16092328938751102,0.0005379522124775785,0.03650297470742333,0.1925304722870811,-0.11644363627950682,-0.10138129466955209,-0.059237347482844045,0.04492169925823628,-0.09941408585808251,0.00355174994305077,0.006469748391184263,0.14348580451465018,-0.03520531976992511,0.060469039195307384,-0.050764783664113446,0.10204391230530481,-0.09223333968079958,-0.052135262429169396,-0.07277421943961958,0.010298943413821577,0.07303186131438821,0.1166719315043139,-0.2571560432079746
e7,0.00135636519468001,0.12574844048939307,0.05512086954427256,-0.04349296765995615,-0.2064929107107264,0.030223009624419834,0.18381530474956576,0.06092277328511632,0.10888581501466443,-0.11113957188416526,1.0,0.11782335594692331,-0.13187458622825252,-0.05727252342037074,-0.048617913380221534,0.049415278232580656,-0.034861195150773086,-0.06050235894387654,0.0994045913536832,-0.10803124733050486,0.0776151219781315,0.14102758656282924,0.05239117358125231,-0.13514990105071328,-0.179590971055554,0.10567353142173752,0.0994111894558501,0.011566682209060618,-0.18724758143739856,0.03222262165779208,-0.07694506534924114,-0.15584763589509953,-0.1092202004256955,-0.019035315641105957,0.036727181155499874,-0.022510210113245225
e8,-0.07825030807237265,-0.027686313863601826,0.04612031191544217,0.13098536404795125,-0.331891817819414,0.22006300453458244,0.12063680361769982,0.03206683437028389,0.0023600294712264012,-0.1273200048406845,0.11782335594692331,1.0,-0.06782434366012699,0.07299815893818161,-0.10072626729832854,0.10049028392750362,-0.20543160842421482,-0.12407295552265155,0.18523584989606767,-0.16637799339388934,-0.016934409614453715,0.034303257317976024,0.007924044854637092,-0.04393577906546314,-0.014268887567983142,-0.1210466823514337,0.0009907208348757096,-0.053776503637632055,-0.09827286778524445,0.1859935504997295,-0.1746010217047752,-0.22936569236026083,0.05411213036390558,-0.0669151981477263,0.08402200375864916,-0.14945798012109118
e9,0.02983064580439357,0.11822634835889953,0.07014946918048938,-0.05670726227255901,0.05554436344998434,-0.08667695905350381,-0.16474620219824027,-0.019814332163501237,-0.08648381218144024,-0.06806482068111279,-0.13187458622825252,-0.06782434366012699,1.0,-0.007743288889205273,0.14451062815000426,-0.0176980053532276,0.022697373572709928,0.11629258289672256,-0.06529616268971213,-0.04192136468151143,-0.190041007894587,-0.057285434878555766,-0.045526233128790686,-0.09373351586747913,0.041318267889176793,0.002632362467610127,-0.023232033407841905,-0.04353911878185597,0.029690467588769615,-0.048657737798627525,0.09021178884649336,0.15523618803211936,-0.009769119814060765,-0.01532435700760272,-0.039990020537315984,0.04821298695746715
e10,-0.15225157166792472,0.0020114243466691183,0.1625761686286423,-0.0754531868433042,-0.0495850625729662,0.024045637689000254,-0.12231945759417978,0.0036319237805746193,-0.07575567178735157,-0.16092328938751102,-0.05727252342037074,0.07299815893818161,-0.007743288889205273,1.0,0.10727207850451323,-0.02414344354195734,-0.10210554204988753,-0.022473055895669013,0.032519749814915,0.07606597390301548,-0.027627775385119163,-0.0877961493422364,-0.12259687152965631,-0.04193268334092656,0.03304011450354509,0.016086257616959483,-0.11796370020501723,0.04948163743272872,-0.1070121987029813,0.11562298453116547,-0.010155462498932205,0.09476181874483897,0.017389153663259205,0.029466003089495717,-0.1458931863805917,0.1505136769737535
e11,-0.09154193378515471,-0.05839834663937651,0.02329103635333949,0.01858147032233264,-0.00018589474358609442,0.06446270626299154,-0.18663148865286597,-0.010268364346934709,-0.030656206398245966,0.0005379522124775785,-0.048617913380221534,-0.10072626729832854,0.14451062815000426,0.10727207850451323,1.0,-0.020043503872547625,0.04169163237848458,0.017027775207152825,0.0282299423033116,0.025699821499757965,-0.0008299104473362007,-0.09833509371707622,-0.017992859990318633,-0.08474021807995673,0.03640583177909394,-0.07924440384834419,-0.004202185782624794,-0.14450227263020018,0.005289542341752327,0.04244490606936416,-0.05288771302571258,-0.015481247686437539,0.001938929959566047,0.059056765034596656,-0.07054260158318859,0.03181214190732154
e12,0.07426186985854408,0.10236302619814314,0.017926730803146773,-0.00258059205842991,-0.030642556379737465,0.17605316477547767,0.16633902766308836,-0.012606366034055634,-0.03450705547566844,0.03650297470742333,0.049415278232580656,0.10049028392750362,-0.0176980053532276,-0.02414344354195734,-0.020043503872547625,1.0,-0.04040407703095191,-0.08767132374925254,-0.03286222379623566,-0.06756825899085965,-0.0005725933611435419,0.03279300823628235,0.12939450511119335,-0.04782281759873573,-0.08740587805034311,-0.002764262222728439,0.009814701443662976,0.050056878043224465,0.008939066993650161,0.06354049802101426,-0.106899546007859,-0.05669387920356502,-0.04667784443606025,-0.15105014824596374,0.04634652449528745,-0.11353389450314587
e13,0.06973996370739198,-0.06963895410360334,-0.010805990832737606,-0.065727152680885,0.07717135400353085,0.06663788654289701,-0.09041876370340841,-0.06778854573023149,-0.06557672662945985,0.1925304722870811,-0.034861195150773086,-0.20543160842421482,0.022697373572709928,-0.10210554204988753,0.04169163237848458,-0.04040407703095191,1.0,-0.06290263550357356,-0.04153293534126826,0.048388319001110514,-0.0013919192602295048,-0.10704821019248839,0.003540600351661493,-0.08414270498163387,0.10712167914803952,-0.0402689204917566,0.08290078465360631,-0.06381538928357869,0.01747531606822518,-0.03363958523164099,0.07280203557903128,0.03518049346507589,-0.10718203643326973,0.03214315968564025,-0.07124309045673283,-0.17194450186295998
e14,0.10572591986102045,0.14526651468233792,-0.04676960381084706,-0.08968566249750848,0.06163566641276802,-0.17059856309974658,-0.05691437060423133,0.10899965563512629,-0.055299886635439506,-0.11644363627950682,-0.06050235894387654,-0.12407295552265155,0.11629258289672256,-0.022473055895669013,0.017027775207152825,-0.08767132374925254,-0.06290263550357356,1.0,-0.15684900801560409,0.11295247942709075,-0.05233613304051937,-0.08693749733050485,-0.02305145095959452,0.07401719421822944,-0.049887600906916484,0.01020919498704405,-0.06505563672798201,0.14766710149776474,0.019999523940032463,0.014323812430593132,0.07395279709701302,-0.021144425916170734,0.05507617849312338,-0.09842858388621545,-0.0392049754050514,0.16249820508860852
