,essentiality,mutation,expression,e0,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20,e21,e22,e23,e24,e25,e26,e27,e28,e29,e30,e31,label
essentiality,1.0,-0.10720412504037612,-0.23100881873165297,-0.09260333962016323,-0.0076106680170761765,-0.12567649823430443,-0.015309742419546461,0.05802889830356835,-0.04530513641213436,0.08495065673308622,-0.07308215676232359,-0.23736561242538906,0.020202815728355226,-0.08809915089820403,-0.05152070128091352,0.037316748671953184,0.0011770906794152294,0.02677183964839467,-0.0071692735187399315,-0.0047734787574904465,0.023931449806599482,0.028490696091603453,-0.013982766378628306,-0.059189789376076316,0.05106785296416574,-0.17182029278116331,0.045162107672823935,0.04351978350534636,0.1582969341058006,0.052752999082071136,0.08301307867689486,0.04090184731989534,-0.053478100343182344,0.003941184200180182,-0.04081739865050085,-0.05715451621587525
mutation,-0.10720412504037612,1.0,0.09068461570037181,-0.08215314093555398,-0.1300461914032903,-0.06633400719430704,-0.011971015106370091,0.004058441681285824,-0.07994116081308689,-0.1902099971562753,-0.05036044975154247,-0.09610621788333801,0.1078467589630302,-0.03221707023817809,-0.14855418619125446,0.03397004830197949,0.008884619798611871,0.06502476098714977,-0.06821026699616317,0.12949100928375215,-0.07347731747141674,0.11885182215269818,0.07420816216428278,0.02181549810796398,-0.10602009019815914,0.10993344553859061,0.0783025185911684,-0.01631657497779538,-0.1652296222764787,-0.03801612079119469,0.020313044981405806,0.13505171111238398,-0.0237072752767925,-0.06708799150020486,-0.07534203509597694,0.38012571827034247
expression,-0.23100881873165297,0.09068461570037181,1.0,0.08825032360299814,-0.029560443111537188,0.031888706678744785,0.12918783899818875,-0.0005392933287321202,0.05270315709993212,-0.07183634047734416,-0.06956062791397989,0.11878558749303711,0.013639321745681787,0.27363541478422615,0.08322043769636892,-0.053351596377834515,0.02419378859881198,0.046776069247473406,0.10014253026618361,0.08136001480020769,0.032691656771599964,0.13206331578328345,0.03037111958672968,-0.07412294138582044,-0.08568142219146258,0.15565490000920829,-0.031133515956164006,0.06322393000352856,-0.09677386278398999,-0.07453892768789469,-0.07615415860230529,0.04156886578859684,0.033873943353565146,0.021524318403927822,0.06017717604698851,0.23741147037716093
e0,-0.09260333962016323,-0.08215314093555398,0.08825032360299814,1.0,0.16135285562500412,-0.04820123580877675,-0.019071854237855068,-0.039589188271868095,-0.07251118655350854,0.0346989499232641,-0.027591051126115783,0.03230419637176906,0.02468658999088351,-0.07192187366777944,0.0931747830325111,-0.03716348621213214,-0.14085345532921015,-0.03072251751972506,0.032121933228286034,-0.061351487536974246,0.04395810822221931,-0.05947155524657148,0.041654130129664,0.14579796629359026,-0.16416407669327282,-0.01638544686366588,0.050820417284270454,0.07047400099855054,0.057406756858681324,-0.07159645830190658,-0.08234365059585101,-0.05592443091637098,0.05296746491955848,0.11970674443828662,-0.08547964653934191,0.0916761652522416
e1,-0.0076106680170761765,-0.1300461914032903,-0.029560443111537188,0.16135285562500412,1.0,-0.11644774354631372,0.05214402451941681,-0.0709760124466292,0.17047607618825875,-0.027498154362140998,-0.16288607239245495,-0.23545035818286758,0.04892960177673131,-0.1094111083009228,0.06579556009831378,-0.027077613324828984,-0.19031540731516156,0.2599140164359124,0.060255485059453925,-0.11909668990332588,-0.06263987803418355,0.048280615658059564,0.06546565617396095,0.10033105168359885,-0.18659507894124128,-0.16467009505086214,-0.0677940292744194,0.061833659146657394,0.000339921198129485,-0.00487940637071968,-0.27183313753107147,0.03713290662650602,0.1673761270585882,0.031765000598474466,0.06491169837214945,0.07674570877520168
e2,-0.12567649823430443,-0.06633400719430704,0.031888706678744785,-0.04820123580877675,-0.11644774354631372,1.0,-0.10087324495313864,0.0170630910960117,-0.09191961094240872,0.2151011401348453,0.13488422081084273,0.21745074678135512,-0.1438289033242387,0.06750366155695181,0.13153347603806625,0.14523994521909084,0.23293311719933626,-0.2738098863882312,-0.1537818359720865,0.0947199744131671,-0.023176963775078534,0.0058650343753894225,0.09499905412340708,-0.03347826697371959,0.23539884736277716,0.15433799706173634,0.13623277131388922,-0.037167103703327195,0.12489549754543489,-0.1345499922936165,0.11103370681965752,-0.12066026080369381,-0.20122168211495958,0.043080958838074127,-0.17146144799666824,-0.21617487952661424
e3,-0.015309742419546461,-0.011971015106370091,0.12918783899818875,-0.019071854237855068,0.05214402451941681,-0.10087324495313864,1.0,0.07040686220658354,-0.024070110053715135,-0.01905865500652583,0.0436820106364489,0.02770481251352716,-0.03885209113536344,0.009825116333597866,0.026965158538344997,0.035965020602278464,-0.03905963060188495,-0.019891754005679767,0.040415646663955765,-0.004225870206465492,0.011288089210407224,0.18685161338057732,-0.05491811762564684,-0.0784153011064399,-0.14861930199021453,0.08741515804644817,-0.0019182387552387006,0.1018477181726361,-0.02824570430606476,-0.034331820682293686,-0.09625377530809137,0.06302417754851743,0.048007146645919554,-0.11988197243246257,0.026850223772061574,0.07018404716994554
e4,0.05802889830356835,0.004058441681285824,-0.0005392933287321202,-0.039589188271868095,-0.0709760124466292,0.0170630910960117,0.07040686220658354,1.0,0.1587288730315929,-0.009264651146775452,0.004842760057650307,0.005409261228364738,0.0019261654675315296,0.0883381358176309,-0.06926373498894872,0.04249149223458887,0.12006748414452584,-0.0551491246696093,-0.030027124010467567,0.048746195997927476,-0.1090029056755055,0.1536091904362141,-0.15063645299761924,-0.014401760211777977,-0.06346512717992274,0.10740604975700296,0.018213904201454703,0.13717226861993428,0.014159680365446542,-0.021597852009562477,-0.13785823410681375,-0.05583427545238111,-0.009623899790779886,-0.04253127951380919,-0.04396317066032229,-0.0665506289528156
e5,-0.04530513641213436,-0.07994116081308689,0.05270315709993212,-0.07251118655350854,0.17047607618825875,-0.09191961094240872,-0.024070110053715135,0.1587288730315929,1.0,0.02980022123059467,0.04762375919027225,0.14710280971463424,-0.012419349417266232,-0.06790645844127735,-0.03578701031671597,0.11915161325760308,-0.009282323564809045,0.0027593566973391666,0.02928548707623089,-0.04833879270484223,0.06268537849000794,0.09487813461248368,0.041726690034498366,-0.04687919649474326,-0.0033978131497137166,0.052898384159938604,0.1504299331922136,0.14502008783637543,0.04947229719094123,-0.0017003899512038345,0.05058604382144802,-0.009633896568855715,-0.046396363898708604,0.08510271522945347,-0.09824426140872691,0.010664050547802888
e6,0.08495065673308622,-0.1902099971562753,-0.07183634047734416,0.0346989499232641,-0.027498154362140998,0.2151011401348453,-0.01905865500652583,-0.009264651146775452,0.02980022123059467,1.0,0.03638638659154855,-0.13874783975313337,-0.06245849620583587,-0.11071846756924267,-0.07522736393314139,0.003055765522623974,0.058415493766027636,-0.11698104168169685,-0.0859834001219904,-0.01690296330941622,0.03936984840559844,-0.06842724395130877,0.1831026832561602,-0.0366393855224928,0.14874870672127816,-0.06577576125131993,0.07068157120862328,-0.053169245094149054,0.08396457871496875,-0.03097744304654656,0.05548763166438207,-0.01891912539925625,-0.0965220742796991,0.043806455407913635,-0.06270172893533853,-0.15208794285590987
