,essentiality,mutation,expression,e0,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20,e21,e22,e23,e24,e25,e26,e27,e28,e29,e30,e31
essentiality,1.0,-0.11025107490470287,-0.03456728560203675,-0.02520457300514178,0.060532273282377536,-0.010083836379546102,0.00550015897200392,-0.10019086466135986,0.03930299573790024,0.0032957216185956414,-0.05722304051307168,-0.0516877938784027,0.052401181637590555,-0.020332295679206035,0.05104659409390976,-0.11999053522843658,-0.13622003069629787,0.03618088811519921,-0.11275421589312011,0.02748906452363159,-0.07707469903709316,-0.01616065295959849,-0.0034573550410483753,0.03139387346064253,0.07022821981135596,-0.37989602377040194,0.023302369212552822,-0.03844247080423186,0.11306566462764653,0.05181652575742857,0.018767396618312195,0.0416891419309761,-0.02813366810901485,0.04431585475719586,0.08223209922668626
mutation,-0.11025107490470287,1.0,0.13150516976879367,-0.09291969802030803,0.17273219150020247,-0.049076359044472044,-0.19560663029096603,-0.20947318303248874,-0.07713585015362034,-0.11262628534111142,-0.14635219900666557,-0.2643147809098743,0.12692578155416412,-0.21008938544218442,0.02887509203886545,0.04971501846829707,-0.021038807406757398,0.17365038095139418,-0.11577812996642625,-0.0025938827468796714,-0.11534225378987245,0.04004686226790471,-0.00841465016912019,0.14202563545148608,-0.03670216598045474,0.03542908306468401,0.014060121128571586,-0.10641838290731218,-0.058778937529505415,-0.11617783369806081,-0.0389546078370112,0.2019644061323805,0.15675693794471085,-0.039962126171090316,0.04268104809179166
expression,-0.03456728560203675,0.13150516976879367,1.0,0.05281230807985002,-0.021800104066751126,-0.05568791161254173,0.04804499357138217,0.0722348426549699,0.16219065757924972,-0.1992702914493911,-0.1742650822399287,0.05298554342077371,0.2456360479393057,0.09021120849292213,0.05080599850157131,-0.07645269200346286,-0.12807113803173797,0.023984310775035576,0.11341492381142435,0.09625808710778619,-0.16153053999093203,0.04943008858443486,0.07247805731550963,-0.20232703576045502,-0.2249463464419779,-0.19097386371830083,0.05292939240053498,-0.06132164274517231,0.0090198266275257,-0.06820007386730514,-0.11089580797856144,0.21167296723172585,0.07809118276532179,0.04608217588881136,0.11160834828421566
e0,-0.02520457300514178,-0.09291969802030803,0.05281230807985002,1.0,0.16384286286630037,-0.19740298763736264,0.01643844436813187,0.1603844722985348,-0.1700392055860806,0.07592791323260073,-0.14002511160714287,0.10213627518315017,0.13968993246336997,-0.07818724244505496,-0.06910699977106227,0.036866128663003664,-0.17122968177655679,0.07277429601648353,0.14422862293956046,-0.02398194253663003,-0.03054387019230769,0.09209413633241759,-0.1268565418956044,0.03079605940934066,-0.2780806433150183,0.11462017799908426,-0.04828368246336996,0.22904325492216118,0.017102721497252754,0.08861571371336996,-0.0708902100503663,-0.18781478937728938,0.13074490613553114,-0.03970352564102564,-0.1474702380952381
e1,0.060532273282377536,0.17273219150020247,-0.021800104066751126,0.16384286286630037,1.0,-0.17923391712454215,-0.048757297390109894,-0.1252425309065934,-0.04361442593864469,-0.19469043326465202,-0.16135960393772894,-0.3933278960622711,0.17569861778846155,-0.0796299078525641,-0.005850074404761904,-0.17517635359432238,-0.3770339686355312,0.41971905048076924,-0.08859138907967032,-0.05319904704670329,-0.15407652243589742,0.11714528960622711,0.05730633298992674,0.26619269402472523,-0.15668963198260072,-0.07269452552655678,-0.13623404590201466,-0.008296130952380958,0.06282230139652015,0.22569826007326008,-0.26910986149267396,0.1136082016941392,-0.06424064217032968,0.0358870621565934,-0.11492817078754579
e2,-0.010083836379546102,-0.049076359044472044,-0.05568791161254173,-0.19740298763736264,-0.17923391712454215,1.0,-0.021839228479853482,0.031389151213369965,0.07321357028388278,0.23315447573260076,0.1822583991529304,0.35342190361721615,-0.06008148752289377,-0.017895776098901098,-0.049557506295787535,0.11700685382326007,0.1859550280448718,-0.31777808779761907,0.09921123798076922,0.11073431776556776,-0.02088663289835165,-0.021957274496336998,-0.060086853250915756,-0.02385352277930403,0.17228994963369965,0.16694747309981683,-0.0305581788003663,0.0628505608974359,0.1880426539606227,-0.1086842519459707,0.09538440075549451,-0.24374213026556776,-0.1458955757783883,0.07431604853479853,-0.2715047647664835
e3,0.00550015897200392,-0.19560663029096603,0.04804499357138217,0.01643844436813187,-0.048757297390109894,-0.021839228479853482,1.0,0.04997388679029304,-0.07588033711080586,-0.1550183865613553,0.05828361092032967,0.07459649725274725,-0.060278230883699636,0.27701465201465203,0.005821099473443224,0.06605926625457875,-0.10627539777930403,-0.05937464228479854,-0.0004610948946886517,-0.03862107944139194,0.16156886733058606,0.07221769116300365,-0.053480211195054944,0.07183207417582417,-0.02702931833791209,-0.025123411744505497,0.03098028273809524,-0.002080113896520148,0.14160013163919416,-0.03164205586080586,0.02394474015567765,-0.18081358745421244,0.09679415636446886,-0.0940243675595238,-0.059048763736263735
e4,-0.10019086466135986,-0.20947318303248874,0.0722348426549699,0.1603844722985348,-0.1252425309065934,0.031389151213369965,0.04997388679029304,1.0,0.25133070054945056,0.07671488667582417,0.05074619391025641,0.22927040407509158,0.09311434008699634,0.1165965544871795,-0.1642291952838828,0.18344494047619048,0.18102392399267397,-0.2232235863095238,-0.14072802197802198,0.11030935210622711,-0.045909884386446886,0.010606255723443224,-0.14333397722069596,-0.1983777615613553,-0.015708347641941397,0.14619319482600732,0.039332574977106224,0.05844315190018315,-0.17640904017857145,-0.05796917925824176,-0.11241021348443224,0.0389319339514652,0.021607071314102562,0.13643222012362638,-0.047733874198717954
e5,0.03930299573790024,-0.07713585015362034,0.16219065757924972,-0.1700392055860806,-0.04361442593864469,0.07321357028388278,-0.07588033711080586,0.25133070054945056,1.0,0.03529432806776557,0.15370199461996337,0.20786973443223444,0.08276993189102565,0.042055145375457875,-0.15119333791208792,0.13846404246794872,0.012716417696886452,-0.07830063816391941,-0.18331652071886448,0.12515274439102564,0.006474287431318684,0.014390167124542125,0.1088280534569597,-0.12993360805860804,-0.09775211767399268,-0.05319940476190477,0.15127024668040295,0.18316949977106228,0.0541426997481685,0.008818395146520146,0.019862136561355315,0.23427340888278386,-0.06525619562728938,-0.05206795157967033,-0.02452602735805861
e6,0.0032957216185956414,-0.11262628534111142,-0.1992702914493911,0.07592791323260073,-0.19469043326465202,0.23315447573260076,-0.1550183865613553,0.07671488667582417,0.03529432806776557,1.0,0.04870614411630036,0.10473006810897435,-0.016948903960622708,0.002527257898351648,-0.08669871794871795,0.08325857085622711,0.159225832760989,-0.026644774496336995,-0.05104417067307692,-0.10325413518772894,0.058329040750915745,-0.2088126717032967,-0.08181697859432234,-0.17453246623168497,0.18338770604395604,0.011271963713369961,0.2541691706730769,0.01801131810897436,-0.0612551510989011,-0.022259186126373627,0.11143043154761904,-0.16295787545787543,-0.05919077667124542,0.07141175881410257,0.056375200320512825
