,essentiality,mutation,expression,e0,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20,e21,e22,e23,e24,e25,e26,e27,e28,e29,e30,e31,label
essentiality,1.0,-0.026235267340328838,-0.3058868089326299,-0.03939978378898833,0.11093664190916572,-0.08355989015650428,0.11261388372591608,0.03936247542380218,-0.06717419114975737,-0.02345216190378136,-0.09557424625102717,-0.13317290678120555,-0.014381325146873245,-0.10355908078404585,-0.12849599642910908,0.05523961723579956,-0.052215774030437825,0.09864203597474751,-0.048195208251304064,-0.008230039374828954,0.0015842531699928114,0.14274787109969245,-0.0349906978478213,-0.057758992931938244,-0.005830274932320702,-0.12716014090456346,0.07087425522864693,0.015094543118609489,0.1650059128851463,0.038185048605388724,-0.05356500245875131,0.0140878786241284,-0.017526850109403486,-0.06816743966475608,-0.008375938884011228,-0.050553579200666686
mutation,-0.026235267340328838,1.0,0.17938710359038298,0.023510159854084348,-0.0022817724297541295,-0.05644595471344363,0.10740361977867331,-0.0395354952493544,0.1024941970599357,-0.10879012438461479,0.011451084506417995,0.0027875602795749107,0.028777464040034895,-0.0784520988770246,-0.02601893633644957,0.05771782787436333,-0.050651328433948664,0.09087405897808015,-0.11620351868364412,-0.03607112378334033,-0.0296184245857825,0.08599388988102158,0.052930557485123465,-0.0031909927444631,-0.01539215468952629,0.05870222095553497,-0.0028758498976895405,0.0005324223175529044,-0.016825830820802728,0.06588725919358611,-0.00864099266987154,0.039431680273845124,-0.04584469843727137,-0.1698782177379759,-0.07841460746890434,0.21747631630239161
expression,-0.3058868089326299,0.17938710359038298,1.0,0.034076467913924255,-0.06927680854846457,0.0016392677511171362,0.045840124686791495,-0.00804586726115622,0.04662885040078779,-0.06234519448350249,0.013862030022581337,0.05027256890922066,0.03146679782159882,0.09191687382035615,0.07096834634289528,-0.05444324307927359,-0.04577695172865777,0.037097013846481085,0.0034326041382226964,-0.13126821904911734,0.018347346849357033,-0.015369901551517873,0.08282128479496956,0.11765657385573558,-0.048829650817880876,0.13546784387206934,-0.04899570122091354,-0.03581118568389921,-0.05625842231855148,-0.016249302395979496,-0.05840494066525728,-0.0033387277143009444,0.013289368702700081,-0.024656760780921678,0.07331317326552135,0.2632110535042545
e0,-0.03939978378898833,0.023510159854084348,0.034076467913924255,1.0,0.0841248004502606,-0.10137910240396802,-0.10988293220365786,0.07758530316260101,-0.07376701441583351,0.02342169249934075,-0.05908578203408469,0.04597732619404822,-0.0243522523159085,-0.028617473011836068,0.06798613730802909,-0.03281495717134679,-0.15666132119460993,-0.05494750937463541,0.027753581751863696,-0.04649111510207654,-0.07712058947448783,-0.02379026096910585,0.07543894339924567,0.058472932939779426,-0.16428095012152932,-0.04519467298503864,-0.047840241351158386,0.051336961264997316,0.15683788279828764,-0.09116615272028702,-0.042186242117665466,-0.030561412611373927,-0.0445608457821977,-0.0407556787828961,-0.07012582998606243,0.059066601825657934
e1,0.11093664190916572,-0.0022817724297541295,-0.06927680854846457,0.0841248004502606,1.0,-0.0041734004144579374,0.05247994397762769,-0.15100786847778352,-0.012590910157343382,-0.005936736661234369,-0.2316986502981334,-0.22373985265995244,0.01318227872143943,-0.0611687770671697,-0.06029894681001606,0.038534758134907796,-0.08165319333166601,0.15977618277387795,0.04012176504001679,-0.06149047203488497,-0.014197542565084282,0.03710771425814034,0.02710087884118765,0.10420286658585827,-0.12901391738063434,-0.13596379345795173,-0.025396138526286853,0.04844174203754337,0.01829310127259659,0.11330977126162489,-0.11476608170552344,-0.01815253466603,0.1471867840879593,-0.03584835679215352,0.0038768743389356528,0.12144636696164293
e2,-0.08355989015650428,-0.05644595471344363,0.0016392677511171362,-0.10137910240396802,-0.0041734004144579374,1.0,-0.07279224667998524,-0.07413528763338878,-0.0720059663474485,0.13904943570385397,0.1191932002491001,0.32616598130673535,-0.0030817622398665043,0.015640623516580396,0.0800005103328638,0.11346073789853221,0.2305619438932025,-0.15125659916301654,-0.07175503338087766,0.12405691139431169,-0.013757223725006745,-0.05727177161988353,-0.005722649346076163,0.10042135389390772,0.0038783888757717034,0.05782163785828942,0.10393602582443488,-0.05176049334862322,0.12362103542874621,-0.022828052360504756,0.02443863346704365,-0.042230844852003756,-0.05261942906552691,0.10152276431368301,0.05157984791679922,-0.2277040704571895
e3,0.11261388372591608,0.10740361977867331,0.045840124686791495,-0.10988293220365786,0.05247994397762769,-0.07279224667998524,1.0,0.08033384432643455,0.047095371144978776,-0.050622935018702006,0.17735130053004605,0.10158275304568959,-0.07981752845370949,-0.07282161282396143,-0.14461984132514888,0.07133583087024373,0.020921167880984654,-0.07654881490958759,-0.05704493054126045,0.01783306404744541,0.0508521689544124,0.17930903895819914,-0.0019587836151318695,-0.04632812620331179,-0.0008717794505029791,0.10947312157826901,0.10312585964138496,0.09244258500010093,-0.020787479789491033,0.12159057709128732,-0.10380445808799194,-0.03053014428163719,-0.03752842689382717,-0.09649784310897441,-0.015803123990430473,0.10522539646954776
e4,0.03936247542380218,-0.0395354952493544,-0.00804586726115622,0.07758530316260101,-0.15100786847778352,-0.07413528763338878,0.08033384432643455,1.0,0.17348861013796696,-0.07859060432570292,0.14243142291700317,0.08222953359205185,-0.043651538099836074,-0.0029972651286157984,-0.026851279569845697,0.027027986264430877,-0.01806633841612649,-0.06683458242897714,-0.04247670492237317,0.01845762902374362,0.04633003812336607,0.1344232059039247,0.010421530011861408,0.019253201048420703,0.058842427175862966,0.08850464465895203,0.04272765878689866,0.051459416188758836,-0.033354427574213065,-0.013943583046351665,-0.04666070931636786,-0.09308002067649855,-0.06149279608275407,-0.014530073102451505,0.07848025384665114,-0.04059496392965445
e5,-0.06717419114975737,0.1024941970599357,0.04662885040078779,-0.07376701441583351,-0.012590910157343382,-0.0720059663474485,0.047095371144978776,0.17348861013796696,1.0,0.0008010709761728223,0.20851431307170243,0.17580727621423034,-0.12284585236847481,-0.007294961039848936,0.019881236831840454,0.0790658581007477,0.022213873659606316,-0.06409789226063431,0.0010771074893688613,0.06392598757753745,-0.00936860854812416,0.07658371389091359,-0.05397000805589045,0.015704344462570376,0.11697141222251305,0.20574240613056788,0.1188186409101836,0.06253193400768607,-0.023061133460584582,0.0893042815419459,0.12718948025436097,0.03452892860617271,-0.008262011191457664,0.02514744286629262,-0.019642470433455017,0.08722647190248863
e6,-0.02345216190378136,-0.10879012438461479,-0.06234519448350249,0.02342169249934075,-0.005936736661234369,0.13904943570385397,-0.050622935018702006,-0.07859060432570292,0.0008010709761728223,1.0,-0.0992272723065743,-0.008178466733837791,-0.004152912605965916,0.050906426169625554,0.02490714507285212,-0.0026227902384415233,0.06283175435785246,-0.03390312056970893,0.044505060265133296,-0.044386627155878336,-0.007457123609139384,-0.1399509809286269,0.10481080458784495,-0.006987967037233136,0.057928992033344576,-0.10434292000183926,-0.05292897096974255,-0.07531104645969738,0.01584417695869708,-0.006614143507683604,0.01688044013927754,-0.05573153988234189,-0.017323053246267397,0.02621095610483325,0.06284873558880023,-0.20710644406943945
e7,-0.09557424625102717,0.011451084506417995,0.013862030022581337,-0.05908578203408469,-0.2316986502981334,0.1191932002491001,0.17735130053004605,0.14243142291700317,0.20851431307170243,-0.0992272723065743,1.0,0.1612529888112502,-0.02920734841124686,-0.031194183844939778,-0.09142411480997582,0.08464838593931175,0.036359301453745815,-0.13486464460824782,0.06118163526952454,0.006235738177992974,0.059382772547596246,0.08754084183780793,-0.04749137265600739,-0.0641515600300094,0.13167288360893664,0.2378592411837501,0.09034187479117901,-0.0017995434110125788,-0.12996663323650992,0.062298813155102606,-0.03168962363178716,-0.0639736203441442,-0.12171268758364856,-0.027236850088517797,0.04666525701349255,-0.11392340544442507
e8,-0.13317290678120555,0.0027875602795749107,0.05027256890922066,0.04597732619404822,-0.22373985265995244,0.32616598130673535,0.10158275304568959,0.08222953359205185,0.17580727621423034,-0.008178466733837791,0.1612529888112502,1.0,-0.05594852431520341,-0.002229644399663706,-0.07078492215426811,-0.004094030303909046,0.14708507144433997,-0.17007751210198055,0.04210614374874493,-0.06181612193304985,0.09769484899527942,0.03901058113640159,-0.1341038678213531,-0.06769683881003843,0.0853956879945166,0.05038365482332928,0.0038072589070897575,-0.014527283758054132,-0.21789500920998067,0.06433961321131261,-0.07339338159440482,-0.1923409365202332,-0.048643720863727494,-0.0001850763098229678,0.06341459986912298,-0.09713508447750659
e9,-0.014381325146873245,0.028777464040034895,0.03146679782159882,-0.0243522523159085,0.01318227872143943,-0.0030817622398665043,-0.07981752845370949,-0.043651538099836074,-0.12284585236847481,-0.004152912605965916,-0.02920734841124686,-0.05594852431520341,1.0,-0.007011235278808668,-0.037777646662052994,-0.02745851022953747,0.01959563007177966,0.02298082707468748,0.05677770554474705,0.002555623500953213,-0.006561040316564988,-0.07879272741431956,-0.03059221820412532,0.024807688710160453,-0.015030151133659995,-0.027463907720895873,0.042649607936327015,-0.01243178466591708,0.15469629504507082,-0.09378770005943357,0.02151060313440016,0.05782918625452124,-0.020180565380100428,-0.01679168587660855,-0.05998907718262328,0.08141482802850764
e10,-0.10355908078404585,-0.0784520988770246,0.09191687382035615,-0.028617473011836068,-0.0611687770671697,0.015640623516580396,-0.07282161282396143,-0.0029972651286157984,-0.007294961039848936,0.050906426169625554,-0.031194183844939778,-0.002229644399663706,-0.007011235278808668,1.0,0.06369503821700208,-0.09536282169339597,-0.06697479293609251,-0.061332297743989836,-0.03515779654100604,0.06539401204094863,0.06824247898442544,0.00949613789582416,0.04109618218318148,-0.16483965316452692,0.04487963018354878,-0.06766522588804524,-0.05966102151464267,-0.014137380314327907,-0.025523299040828777,-0.023946877706620788,0.12909427099298443,0.06814351542970881,0.008874672083568718,0.14438914113285595,-0.05150813819176167,-0.013450288500994147
e11,-0.12849599642910908,-0.02601893633644957,0.07096834634289528,0.06798613730802909,-0.06029894681001606,0.0800005103328638,-0.14461984132514888,-0.026851279569845697,0.019881236831840454,0.02490714507285212,-0.09142411480997582,-0.07078492215426811,-0.037777646662052994,0.06369503821700208,1.0,0.0018366790607403627,0.015148246495504874,-0.06002180666020496,-0.001350552647139621,-0.06492197519423398,0.07043156213104862,-0.07182960348969573,0.07586289981469863,-0.04982112215467229,0.02787746795487395,-0.1312763973805962,-0.0775681526148149,-0.10395936856760894,0.03617582012042091,-0.06809509040246961,-0.02793969094078104,0.04329470025879503,0.07497033993191224,0.0773571965563021,0.04502577387193487,-0.015710975910051217
e12,0.05523961723579956,0.05771782787436333,-0.05444324307927359,-0.03281495717134679,0.038534758134907796,0.11346073789853221,0.07133583087024373,0.027027986264430877,0.0790658581007477,-0.0026227902384415233,0.08464838593931175,-0.004094030303909046,-0.02745851022953747,-0.09536282169339597,0.0018366790607403627,1.0,0.07153767246981964,-0.09075736779037899,-0.013625985050656222,0.032837764975388505,0.07428221075399391,0.06455700075600966,-0.03272256722197149,0.04932241105931924,0.04864148784991802,0.0370501797509338,0.027280041720370175,0.0024763140796956783,-0.03259192784441786,0.021868239973233054,-0.07482530559854003,0.009829015564142791,0.03920462774175503,-0.005847971251461727,0.06918643429635588,-0.08307010316833915
e13,-0.052215774030437825,-0.050651328433948664,-0.04577695172865777,-0.15666132119460993,-0.08165319333166601,0.2305619438932025,0.020921167880984654,-0.01806633841612649,0.022213873659606316,0.06283175435785246,0.036359301453745815,0.14708507144433997,0.01959563007177966,-0.06697479293609251,0.015148246495504874,0.07153767246981964,1.0,-0.15097923184156548,0.004654028153211619,-0.012523414703669036,0.01986344270480563,-0.06460367717062043,-0.08103088551729058,-0.021234881720099283,0.061866032736753375,0.017764231818563937,0.08518467953319966,-0.01097927749437259,-0.06591387158557799,-0.12336016484673262,0.0055336209092701535,-0.0024481045531997998,-0.060564274722944206,0.03531146375195597,0.07031836983462177,-0.16227362618615093
e14,0.09864203597474751,0.09087405897808015,0.037097013846481085,-0.05494750937463541,0.15977618277387795,-0.15125659916301654,-0.07654881490958759,-0.06683458242897714,-0.06409789226063431,-0.03390312056970893,-0.13486464460824782,-0.17007751210198055,0.02298082707468748,-0.061332297743989836,-0.06002180666020496,-0.09075736779037899,-0.15097923184156548,1.0,-0.018958680337583397,-0.0018503262345195724,-0.1156630869943055,-0.04795290643735199,0.1369716341674566,0.11984497559150942,-0.10748006769410845,-0.0533089013622168,0.04960697164331536,0.035547847921689246,0.06079589506329346,0.08079566544092681,-0.009808819899981707,0.06118756553414668,0.05424653577575439,-0.03821389923372252,-0.03903552237442214,0.14641123834876502
e15,-0.048195208251304064,-0.11620351868364412,0.0034326041382226964,0.027753581751863696,0.04012176504001679,-0.07175503338087766,-0.05704493054126045,-0.04247670492237317,0.0010771074893688613,0.044505060265133296,0.06118163526952454,0.04210614374874493,0.05677770554474705,-0.03515779654100604,-0.001350552647139621,-0.013625985050656222,0.004654028153211619,-0.018958680337583397,1.0,-0.026208384714142947,-0.012733675747342878,-0.0006342298763206862,-0.003625600085246284,0.0897151123966046,-0.08112858499670991,-0.011388444153653142,0.027077721149349292,0.0038383466686373498,0.004478168361299845,-0.01621721874994164,-0.005844977205400923,0.029862191189831494,-0.04914454311478195,0.039475612612418096,0.0011939411195013641,-0.03179321046603665
e16,-0.008230039374828954,-0.03607112378334033,-0.13126821904911734,-0.04649111510207654,-0.06149047203488497,0.12405691139431169,0.01783306404744541,0.01845762902374362,0.06392598757753745,-0.044386627155878336,0.006235738177992974,-0.06181612193304985,0.002555623500953213,0.06539401204094863,-0.06492197519423398,0.032837764975388505,-0.012523414703669036,-0.0018503262345195724,-0.026208384714142947,1.0,0.019431620506809917,0.018187602838616056,0.0024239157644779193,-0.09585641881339513,-0.025235223707151436,-0.0065392799927445925,-0.07969969398755777,-0.08008273684284792,-0.08789992056976502,0.0027872854469765673,0.0844279436053145,0.06392698646999925,-0.07177283710182304,0.08046437683920304,0.02392266527144255,-0.06480530249526639
e17,0.0015842531699928114,-0.0296184245857825,0.018347346849357033,-0.07712058947448783,-0.014197542565084282,-0.013757223725006745,0.0508521689544124,0.04633003812336607,-0.00936860854812416,-0.007457123609139384,0.059382772547596246,0.09769484899527942,-0.006561040316564988,0.06824247898442544,0.07043156213104862,0.07428221075399391,0.01986344270480563,-0.1156630869943055,-0.012733675747342878,0.019431620506809917,1.0,0.0722359638884456,0.011849823095756046,0.08147002989339774,0.11453058485849223,-0.02238263316377763,0.0829554492204414,0.054558504920335295,-0.003498892528454871,-0.06918551007702155,0.042260814767774595,-0.025571357703676485,0.012574351130285683,-0.022843351361505337,0.062336597710043955,-0.0624616754235883
e18,0.14274787109969245,0.08599388988102158,-0.015369901551517873,-0.02379026096910585,0.03710771425814034,-0.05727177161988353,0.17930903895819914,0.1344232059039247,0.07658371389091359,-0.1399509809286269,0.08754084183780793,0.03901058113640159,-0.07879272741431956,0.00949613789582416,-0.07182960348969573,0.06455700075600966,-0.06460367717062043,-0.04795290643735199,-0.0006342298763206862,0.018187602838616056,0.0722359638884456,1.0,-0.08899895372689172,-0.01719033852081865,0.0259298061459996,0.09532310114809019,0.04540410481471614,0.17235375713364107,-0.03949098672259432,0.07850010462487392,-0.049961525939157925,-0.04721549267362455,-0.0038942211567841675,-0.05160891785077687,-0.03483166105444262,0.12759908828190156
