,essentiality,mutation,expression,e0,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20,e21,e22,e23,e24,e25,e26,e27,e28,e29,e30,e31
essentiality,1.0,0.043624943111514485,-0.1795396344880124,0.01854937445093476,0.03350881346038252,-0.11879688728172248,-0.059288901513108214,0.014111157294668865,0.10740116464443691,0.18860725146610052,-0.06081159428317125,-0.0448830731855802,0.01016017533483347,-0.010766765996100672,-0.027830654071559574,0.012447495636376246,-0.0014016816808717254,0.0605413963884993,0.015293724617773528,-0.027538060094708938,0.1340763133255244,0.13497679236086493,-0.012649662421204324,-0.12861744890803445,-0.036337492823620976,-0.1173794019138295,0.07869748479956229,0.08293431782978593,0.08572759693409676,0.09324193403896244,0.11726919753633464,0.03962276328159918,0.13149146227632816,0.029343653913582915,0.015090112924417795
mutation,0.043624943111514485,1.0,-0.05171125826700307,-0.08148201126625358,0.1476127488532359,0.04800041459972246,-0.06153871616134721,-0.01965159331498587,-0.11119391211343985,-0.24137616584918192,-0.25022294129421474,-0.05132265629566736,0.0640452703537719,-0.16053720410806976,0.031325129007825955,-0.04369053417261557,0.03401678331014217,0.19287162564505286,0.046721921619069566,-0.014429399106987614,-0.14300994447873502,0.1608261940859254,0.18527500974923133,0.09245310723035559,-0.03383604926136281,0.017555330043062138,-0.06304526120851861,0.09161519223308004,-0.029275679931532836,0.07480760249220204,0.03991912001796696,0.0180758748483695,0.06263241954754681,-0.24646709649642431,-0.0695079416346381
expression,-0.1795396344880124,-0.05171125826700307,1.0,0.04203729246211082,-0.06051836802454234,-0.009765615434935947,0.05403807058337702,0.11878173322836397,0.06217477623874354,-0.13406648677071253,0.0017917151434078352,0.06422368193900897,0.09512718331331912,0.21962952015278986,-0.09600044887337393,-0.018727221839354942,-0.09610582075663326,0.0026318704850723136,0.019640746000771078,0.07083552220194841,-0.1036628436717311,-0.034136123656909975,0.06763419892860148,-0.037257410179241834,-0.12323355941401756,0.014164874157140031,-0.1349888522440072,-0.04492732158876879,-0.08537099882856602,-0.15311690534522782,0.05848588244558406,0.0866254792040056,-0.17082721413506635,-0.03685458848366134,0.06610278548406139
e0,0.01854937445093476,-0.08148201126625358,0.04203729246211082,1.0,0.19828988453254318,-0.06786223615970284,0.025026116721637407,0.007100611629779761,-0.056300860780173545,-0.05032390634873542,0.03368722956128724,0.06473145050514002,0.061772819681195384,0.0003952125845753142,0.03777896969352527,0.13157797617442163,-0.07149058208621673,-0.09122056721329161,0.0987939348519643,0.03766090862591125,0.0019435825832652583,0.1191372234445078,-0.11908108272775611,0.08286405915262857,-0.26660603268575744,-0.07899814618235901,-0.06742494061425951,-0.03461034549689441,0.0927476850157206,-0.1977655633505695,-0.0935905182212598,-0.0015025844597198017,-0.03987113703705131,0.1458735098176718,-0.19421984813048102
e1,0.03350881346038252,0.1476127488532359,-0.06051836802454234,0.19828988453254318,1.0,-0.2565275849895196,0.12940504446465176,-0.020144101931553717,0.16730902884808038,-0.09951214469699304,-0.2859207270201748,-0.4045691198484195,0.15902594020197897,-0.28297681620185566,0.054110951395203666,-0.024499236847479306,-0.28680753962902455,0.32014221150956335,0.11251978320592451,-0.20844090878003482,-0.12100506873911501,0.10815146349968405,0.23825108753448515,0.1423034117661791,-0.26380372290314874,-0.18822320682035354,0.06235270963696191,-0.054033859504800955,0.13479133233088791,0.04324984491315136,-0.13681998390371902,0.26978100845945774,0.15305596949509118,-0.13273877956282848,0.0010073721641261947
e2,-0.11879688728172248,0.04800041459972246,-0.009765615434935947,-0.06786223615970284,-0.2565275849895196,1.0,-0.05980930940115285,0.23243978584529076,-0.12485388362514065,0.13653154403888537,0.09911347035240355,0.27846557096042107,-0.04478527093961439,0.017752868625063575,0.10495348959858515,0.11374590850068586,0.2601404884561441,-0.3840752898486507,-0.03795822865773778,0.14812127574826997,-0.21652216176617914,0.0033899059171893994,-0.11313576577262148,-0.06767156843857405,0.09782876605775011,0.14644476042453342,0.12704903080352326,-0.11796371690196199,0.108358386441749,-0.018147328653114074,-0.005139660041921612,-0.24330679237049768,-0.15607974161182436,-0.02594896173689564,-0.13315391984418107
e3,-0.059288901513108214,-0.06153871616134721,0.05403807058337702,0.025026116721637407,0.12940504446465176,-0.05980930940115285,1.0,0.18203177377934127,0.027584176758550006,0.015709436842084985,0.06980298913043478,-0.05121020721914832,-0.04739847831866591,0.03992947521885548,0.051846508812015475,0.11791549307985141,0.1002619318138033,-0.13802121462863923,0.23857396438589462,-0.009454397723594781,0.06618948361859038,0.25358412570511535,-0.16103508550968665,-0.04605359960428772,-0.2140013984306367,0.0033030307919639976,-0.015419943398116608,0.0664458946777276,0.14031711407456499,-0.1058197122609158,-0.04514478224265216,-0.01607776810759367,0.028900638938550934,0.023275098301943492,-4.5153391489293274e-05
e4,0.014111157294668865,-0.01965159331498587,0.11878173322836397,0.007100611629779761,-0.020144101931553717,0.23243978584529076,0.18203177377934127,1.0,0.15698341148683015,0.058435141186828604,0.04483042433110367,0.0843686905660959,0.1280713938936239,0.003834004573617128,0.03231444605096867,0.09099425841514727,0.05785212059591881,-0.10076894419570612,0.12387604177904843,0.015457330406269745,-0.0356105834251653,0.2584081334382658,-0.23792806017177073,-0.024584576757394082,-0.10324891896760321,0.1917402947902378,0.008269632935437633,-0.036285415912103325,0.10944525867715735,0.02974548899557665,-0.08025729365742952,-0.050346874373872974,-0.017632549887875097,0.04935205485258079,-0.1505218708579289
e5,0.10740116464443691,-0.11119391211343985,0.06217477623874354,-0.056300860780173545,0.16730902884808038,-0.12485388362514065,0.027584176758550006,0.15698341148683015,1.0,0.1347128858387405,-0.02377762544695837,-0.01006535321270595,0.12894998858522264,-0.11824454089476442,-0.015477318307569002,-0.04085843099309527,-0.039098502304147464,0.004909498154370174,0.10214943388483887,-0.14910844929526995,0.07515604410053481,0.051061110720450664,-0.014744478763697734,-0.03382714487038207,-0.14603275077832406,-0.07304804296772652,0.32694959701501164,0.04055795022386449,0.08324042772182236,0.04003034789544257,0.15838096915794583,0.17208682961060678,-0.009146692411725721,-0.08238847353120232,-0.04857686142749257
e6,0.18860725146610052,-0.24137616584918192,-0.13406648677071253,-0.05032390634873542,-0.09951214469699304,0.13653154403888537,0.015709436842084985,0.058435141186828604,0.1347128858387405,1.0,0.12257845371669003,-0.17804376603848465,0.04822294914499946,-0.12303516522047377,-0.09360749589645978,-0.07380108112872401,0.06779899130935683,-0.13125220950595687,0.05103052682328191,-0.12632645613065058,-0.025442009559514818,-0.005968164571228209,0.048196880586979636,-0.2618299477521076,0.04493057455342694,-0.0365390274609682,0.24938263272929734,0.024772053638857636,0.16761203820723455,0.07447070592451027,0.17530361742482625,-0.023688402345375524,0.02642379480179708,0.14304516157930428,0.06338581923423701
e7,-0.06081159428317125,-0.25022294129421474,0.0017917151434078352,0.03368722956128724,-0.2859207270201748,0.09911347035240355,0.06980298913043478,0.04483042433110367,-0.02377762544695837,0.12257845371669003,1.0,0.0977292178806467,-0.07965931224280628,0.14507014067629426,0.011070016173342785,-0.12754312931546014,0.14145747802775765,-0.293542529196785,0.00027453262025491955,-0.04761392020059184,0.26144942507089686,-0.07611847358899865,-0.14203619399534545,-0.08885212131837307,0.22279857348997428,0.15204658047947844,0.01648273382473067,-0.08028853980434011,-0.04707966527249048,-0.059043839006365305,-0.0986513404416411,-0.12139402005340381,-0.052810744436138896,0.1808548054767813,0.07515772982715041
e8,-0.0448830731855802,-0.05132265629566736,0.06422368193900897,0.06473145050514002,-0.4045691198484195,0.27846557096042107,-0.05121020721914832,0.0843686905660959,-0.01006535321270595,-0.17804376603848465,0.0977292178806467,1.0,-0.01464595406346809,0.11500288861296487,-0.08479948402316478,0.07279828450826872,0.1739808036677558,-0.3005777888179492,0.0547039358345021,0.16435425111354285,0.05498301389616695,-0.029469421160011094,-0.34769875439252196,-0.0845301891963226,0.09660215912681289,0.10370448658546923,-0.2107556823436031,-0.08669812393076769,-0.2765566360795586,0.009338293302945305,-0.2015784963414916,-0.3704004347248124,-0.0400567776805943,0.07777415814812816,-0.06037932581531372
