,essentiality,mutation,expression,e0,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20,e21,e22,e23,e24,e25,e26,e27,e28,e29,e30,e31
essentiality,1.0,-0.07731526716423502,-0.2425056468838271,-0.03494336288724635,0.1065308990873001,-0.04975239398572566,0.09419240239594033,0.027554810637812822,-0.1347240105481721,0.09666693829590556,-0.036414501534471656,-0.05541682075846718,0.01339453206310016,0.05291979238414884,-0.06746956850400157,-0.118845345970279,0.02912101923512355,0.07551856498791384,0.08830689514762691,-0.005076332382695331,0.05834098500105685,0.06570603852984276,-0.001687101473171514,0.06207168682140654,0.05756728927123929,-0.17118991958875712,0.06833640157185554,0.06982189470020764,0.08804260755798954,0.0562673157551051,0.05210792078373299,0.1052786487988584,-0.017655550062108803,0.0526231137840589,0.07663784531066929
mutation,-0.07731526716423502,1.0,-0.021545060987739485,-0.10954089871173936,-0.11642939969512292,-0.1678406717340395,-0.007071175630752893,-0.04164409201982385,-0.17914406310292924,-0.05267306629171395,-0.07392458345208486,-0.28072772881939784,0.184318581592196,-0.03471054064259534,-0.0376747330189461,0.05896789564250848,-0.07855296145521543,0.09612966079009569,-0.06884172161663243,-0.11508599150647517,-0.006566356946161127,0.1167004551350873,-0.07451477614536203,0.24549745238079135,-0.14835230466494675,-0.004026677310275381,-0.09014063521796548,0.05698073879949563,-0.031280957931469754,-0.03311591655268696,0.12988817513994597,-0.023451039855541207,0.05198312101039949,-0.21534755260418437,0.05760340520038761
expression,-0.2425056468838271,-0.021545060987739485,1.0,-0.04514146436532349,-0.05631781623430089,-0.009813900665414006,0.05342292620593822,0.09629480169046548,0.1731505882730246,-0.23931735617956396,-0.06640268753390782,0.04645492800282343,0.0639080407218971,0.1828036305359065,0.05283779029711258,-0.034726056010540546,0.12815395091933451,-0.12948896928605141,-0.05306269664083119,-0.06454553126279738,0.056760101051585125,0.13305289455102345,0.09641079492063896,-0.15335930903570977,-0.10274851785928096,0.12232004713158537,0.005677156231836603,0.06631942700893448,-0.10387611006203938,-0.01912875712179715,-0.16464932334671045,-0.01820826675840094,0.07109062630477818,-0.09340989401096328,0.0375043633394225
e0,-0.03494336288724635,-0.10954089871173936,-0.04514146436532349,1.0,-0.04031995801069839,-0.13512951961682815,-0.013779337180014712,0.08390723777727901,-0.007456315695956308,-0.043099148290502376,0.0541771289230539,0.13395206766917295,0.05338578683961146,0.06418666379880049,0.1178077052862255,-0.02292760625132483,-0.06459722456015661,0.06300723434830859,-0.12515360228930536,0.08571414933477975,-0.04407301485991097,0.053631484261025694,0.05365115213406651,0.04201846734373246,-0.12339907020349382,-0.15811040154802428,-0.11542187246723776,0.07697821395840347,0.17407840574695443,-0.05493340199067321,-0.02139990250813601,0.006633664774498435,-0.16080693610581176,0.03641384439020437,-0.12227502057382261
e1,0.1065308990873001,-0.11642939969512292,-0.05631781623430089,-0.04031995801069839,1.0,-0.09097849567949726,-0.03871406984501054,-0.023796411894163268,0.18688886395092208,-0.01977647009314331,-0.21877769478110698,-0.20016403532151272,0.14078706756006934,-0.10890750079489768,-0.11080974162707766,-0.018082042403895313,-0.1543968265657926,0.2771209156286238,0.05778800039589022,-0.0744416525611292,0.020324686482998542,-0.029021909562463373,-0.06334800776817666,0.1278718211885435,-0.1427364080287784,-0.25097490889849,0.04666757651279941,0.040588430809611095,0.01699287670357486,0.09064686942792304,-0.27203107660319953,0.22440535612975224,0.18460843300726942,-0.003516954700183296,-0.011860769772690433
e2,-0.04975239398572566,-0.1678406717340395,-0.009813900665414006,-0.13512951961682815,-0.09097849567949726,1.0,-0.03418172101584807,-0.05672387981770346,-0.14784699622189804,0.1598923848801107,0.04385503170239031,0.1835979387991122,-0.20618313507649721,0.11253854669322559,0.15352590704061148,0.0934144869325054,0.13755129817703463,-0.20966479670881183,-0.057316711788800365,0.05404215217770795,0.09006696428571428,-0.1096542760040649,-0.08028262119851869,-0.004583832092669483,0.11049309763837456,0.2305914331070213,0.1595296835839599,-0.13924122534258532,0.17645032785633236,-0.1419380229179915,0.17266146164540705,-0.10996768585019764,-0.002110424148056709,0.05175456130999139,0.008677370119951622
e3,0.09419240239594033,-0.007071175630752893,0.05342292620593822,-0.013779337180014712,-0.03871406984501054,-0.03418172101584807,1.0,-0.0555787790371451,-0.0877122259940897,-0.019989553329842015,0.1185355529682415,0.06770602462312497,-0.040424395488098355,0.19240371022394293,0.019172114053791194,0.026590048660207734,0.008198736502325468,-0.07770021680444894,0.08539335551253757,0.04990740805683362,0.023372524906794347,0.06414167804461403,-0.0041363222265863656,-0.06375365886731756,-0.10693680719210963,-0.027804449712589933,0.07149595264591828,0.045049618760832424,-0.029685201031184928,-0.17264154049614083,-0.022437351151510614,-0.039828777478522176,-0.13821662559695258,-0.17095716592476212,0.038348465613661016
e4,0.027554810637812822,-0.04164409201982385,0.09629480169046548,0.08390723777727901,-0.023796411894163268,-0.05672387981770346,-0.0555787790371451,1.0,-0.010971166255190214,-0.02796746218780783,-0.07990000849449495,0.12904403226661182,-0.0466205840315964,0.09563632339555356,-0.04366264892642053,0.007962536939363335,-0.022378854084838966,-0.027517322145537974,0.07773869530792155,-0.12837443811643537,0.06377049199491265,0.08783399341014228,-0.16890699229416825,0.02568856064290078,-0.04891227602588561,0.07236546941046647,-0.1614587035062781,0.019602820016459053,-0.08407118542625219,0.09210110358296238,-0.11208212345228744,-0.06247167202832953,0.05926235052806145,0.027920713241436926,0.05208344048865946
e5,-0.1347240105481721,-0.17914406310292924,0.1731505882730246,-0.007456315695956308,0.18688886395092208,-0.14784699622189804,-0.0877122259940897,-0.010971166255190214,1.0,-0.05005012920984052,0.11887542043853415,0.17416604906233246,-0.05376029470442275,-0.1330823853009389,-0.04276277798039876,0.11682891931320838,-0.14280718899238146,0.08042793356213918,0.12209245712228331,0.02994319209092383,-0.10902179656230127,-0.027227895609670944,-0.011225260757615431,0.040817519155475754,-0.13239814983665632,0.03241509986097084,0.030879476365041958,0.11197731580194266,-0.04066948894312897,0.09219537104577363,0.016465389998628413,0.1337301197645856,0.033967020707864184,0.03546101923028965,-0.12699502760321202
e6,0.09666693829590556,-0.05267306629171395,-0.23931735617956396,-0.043099148290502376,-0.01977647009314331,0.1598923848801107,-0.019989553329842015,-0.02796746218780783,-0.05005012920984052,1.0,-0.05262118488073417,-0.0008392210314343068,-0.108342918864325,-0.06293616114290701,0.0489041419624933,0.0574433693842816,0.1066285602844175,-0.05312882836756069,-0.032662930647514306,-0.07267774925497825,0.06040245397386501,-0.11247702979463585,-0.017062362061871096,-0.05426977931457998,0.06973071476888738,-0.033702200931433064,0.030407038273544556,0.06855248350976945,-0.10387122969114329,0.046425678234766024,0.1719593117588748,-0.08440323055773763,-0.03017211483310266,-0.015349133483584583,0.11667972013366751
