,essentiality,mutation,expression,e0,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20,e21,e22,e23,e24,e25,e26,e27,e28,e29,e30,e31
essentiality,1.0,-0.03236596253649724,-0.2973093849796432,-0.022663722677767943,0.2007686097882252,-0.03271036947822659,0.16976573416570784,0.13758216249026328,0.02611588976983694,0.14797867533064535,-0.0629887498306502,-0.02939645752956458,0.011444168115769494,-0.09808165276855701,-0.14049332318186364,-0.029011367968215806,0.016407661583635335,-0.05262538948580298,0.11327454165556972,-0.21586344596502544,0.0012488168385148928,0.15196953056523477,0.11210507806032166,-0.08277092819366381,-0.01609006826102693,-0.14704694617352093,0.07490310051416632,0.13484549188232595,0.24899540422179955,0.12118978895001585,-0.059264888943158595,0.057952861637843696,-0.008455564813228993,-0.03380479049177512,0.0589872373678684
mutation,-0.03236596253649724,1.0,0.00842495395387283,0.06347845893819998,-0.055491047207868585,0.11881056904147033,0.06867701760852979,0.09393265647034493,0.05881590473568736,-0.03310646829254215,-0.06826978640613886,-0.03348316001316281,0.09234153362500308,-0.08714371145288798,-0.010744077663467962,0.12461134100840535,0.07172604666512306,-0.023716152959494228,-0.01905369985373751,0.20763273797465076,-0.02651573546644008,0.0886619473209819,0.1406155045530979,0.08801405730519807,-0.08555933745573108,-0.04329968897820363,0.05941141360161972,0.08478660438514729,0.05569567696809973,0.0024365015487234007,0.011585252103034644,0.049252294474903875,-0.038891549703107604,0.024125418001045694,0.027175073146645697
expression,-0.2973093849796432,0.00842495395387283,1.0,0.10195088146029929,-0.02920103299591753,-0.03338149946585286,0.0225997505681617,0.03648337099529633,-0.054022756231416294,-0.14743658608253815,-0.019159195169254125,0.03687926851798716,0.13325061390575973,0.15598767635168048,0.06055463627283003,-0.020016029579213106,-0.07383939519013963,0.0645425417218988,0.0287088455156927,0.05310705729331393,-0.11222307880103048,0.05174455600156284,0.06369336070135179,-0.10678854936718873,-0.17591912941143178,0.08038502526744129,-0.07940181447365,0.02829107778187316,-0.24777831437383246,-0.17577778709512434,-0.09322326402462597,-0.009750250599228507,0.05541777043394874,0.004377335243335475,0.13077906803342887
e0,-0.022663722677767943,0.06347845893819998,0.10195088146029929,1.0,0.11873884629209615,-0.00836450570563577,0.06427818581539459,0.11847229640448756,-0.09778348137441525,0.1167255624632956,0.0614543517496608,0.06543649442599381,-0.06258753683096738,-0.12128852063546708,-0.03191866874405135,0.023219963143719245,-0.07337613087523541,-0.08189164671128571,0.042129010272169455,-0.06109104146837853,0.008535924748385007,0.18853413066260302,0.06534587252688281,0.006419457255827141,-0.147665109682874,-0.1729378929902189,-0.03852503366679492,0.050112264838703145,0.1912644476114295,-0.13332958906259493,-0.16842709620096796,-0.0747584787165104,-0.040899571064782,0.017543959847917213,-0.06498143896437901
e1,0.2007686097882252,-0.055491047207868585,-0.02920103299591753,0.11873884629209615,1.0,-0.027195571803932686,0.07903908195966061,-0.05335033654138231,0.19001849142382699,0.0249670135021567,-0.11627753146453089,-0.3286909122435755,0.22087591254733602,-0.1476738744405743,0.04385267739616451,0.004566850104291123,0.02101504121018205,0.05629779482493267,0.06101593983515927,-0.11104524007209252,-0.0833528615510014,0.1604696296399425,0.09662283127619935,-0.03592300809015613,-0.13935164207893724,-0.11520783550353375,0.02485971641420789,0.04388791045645086,-0.00923544417387254,0.007454932691723539,-0.15209126485895386,0.14115348008343293,0.07332357397075798,0.10344135396205018,-0.05220438402421984
e2,-0.03271036947822659,0.11881056904147033,-0.03338149946585286,-0.00836450570563577,-0.027195571803932686,1.0,0.06136944118183107,-0.06811419118689374,-0.20509221347785586,0.18806176717765943,0.1899042331564772,0.18815306937384824,-0.1909029250875843,-0.013946074274518539,0.08719320183876389,0.05890146577124805,0.2602747957210263,-0.29506170769121726,-0.060625433491626336,0.19144297022134021,0.174010863869707,-0.12110783056742472,0.20962180545148945,0.023220690903383898,-0.036892921872785076,0.022001899136307488,0.20170183433405559,-0.022444709250521458,0.1867847862791357,-0.10116746888985642,0.03878816624815212,0.01647935820457261,-0.1260200659160406,0.05217234677811304,0.09039248078714485
e3,0.16976573416570784,0.06867701760852979,0.0225997505681617,0.06427818581539459,0.07903908195966061,0.06136944118183107,1.0,0.05477481533889553,-0.00743658049148458,0.053658511117636344,0.25300042653044696,0.12021904616654178,-0.08260474043660516,-0.04809330132034588,-0.12337673206800186,0.20426946535610863,0.002524582455802839,-0.09705618051477288,0.06940980906117737,-0.0015753307193049956,0.16092927315161704,0.2281278477552095,0.2326988903880035,0.03901894516615702,-0.09442668992122477,-0.08875630303153034,0.20800530884854498,0.22785544414855916,0.003000996081488832,0.0957611638332557,-0.09129420665336871,-0.05212686179907251,0.1332666062098783,-0.09745535669083251,0.09731230445414228
e4,0.13758216249026328,0.09393265647034493,0.03648337099529633,0.11847229640448756,-0.05335033654138231,-0.06811419118689374,0.05477481533889553,1.0,0.14600956719183492,0.08988406155707661,0.03132725327048865,0.1215744510793625,-0.005273615484700593,-0.0926233963973998,-0.05528438949190984,0.05263801803831433,-0.04497905950669286,0.029217810240780868,0.06797662878941294,-0.15253535646301208,0.06378720117555334,0.1954802169609769,0.0025882139638727444,-0.16017254548814322,-0.19118825433871328,0.00882060534416071,0.02275753516028432,0.15485917217654563,0.055458276589173974,0.05610860895384864,-0.12297988155869667,-0.12646433154958384,0.12942631338470262,-0.14163275728519065,0.1513223076689415
e5,0.02611588976983694,0.05881590473568736,-0.054022756231416294,-0.09778348137441525,0.19001849142382699,-0.20509221347785586,-0.00743658049148458,0.14600956719183492,1.0,-0.0067691457746906734,0.05669899607136348,-0.035538592778599054,0.0763932009527956,-0.16119780064701,-0.04664642018185132,0.04829071403981288,-0.05325443047427148,0.02189526652457423,0.018589687202567796,-0.08659268936939309,-0.08731875620177801,0.10358726977481217,0.04481811387476965,-0.07412197378546403,-0.012468231708551871,0.04678031213928434,0.1119883216723031,0.10444137484558838,0.06931164061076123,0.10271433787792875,0.14967203352504,0.04743308091674935,-0.0022897692179178215,-0.06653928763087018,-0.05613425457159636
e6,0.14797867533064535,-0.03310646829254215,-0.14743658608253815,0.1167255624632956,0.0249670135021567,0.18806176717765943,0.053658511117636344,0.08988406155707661,-0.0067691457746906734,1.0,0.02665655502622466,-0.16191424839513174,0.030164230042931492,-0.15534885950568034,-0.024209447332982324,0.0779040141957433,0.3212732535033717,-0.179666268402827,0.026018309800328064,-0.1365780076092019,-0.06277434957271015,-0.04342184367469269,0.11735263816042607,-0.13179621527004315,0.2561283375691055,-0.0596155720317531,-0.011435398356655394,0.02161930322391203,0.19471649647637757,0.008966109814503556,0.046198167691014765,0.0270022566877949,-0.01244706339482797,0.19709752042789735,0.002934849056317204
