,essentiality,mutation,expression,e0,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20,e21,e22,e23,e24,e25,e26,e27,e28,e29,e30,e31,label
essentiality,1.0,-0.14782462341941702,-0.19258700773040277,-0.009083727389956605,0.15507242946454447,-0.09655238379769598,0.07938293587535994,0.14526200822937868,0.0516494018420674,0.08357487656996128,-0.023011305171327195,-0.047712272449090404,0.08551373090783398,-0.24440086561486551,-0.2637500274545207,0.03421017467642306,0.06991370620085838,0.023546700087082068,0.0363649008535655,-0.018527042931266356,-0.035676017235081445,0.22955781451743223,0.040606201570926204,-0.18765783809390862,-0.03741770971500281,-0.15642866674595657,0.09783833572835801,0.08803868221318312,0.3153100478618723,0.14689706272024006,-0.025722135463952727,0.07500403228394723,-0.07073279114572797,0.02303669840643014,0.049012593995139006,-0.18429580261887293
mutation,-0.14782462341941702,1.0,0.09227901118368675,0.1044346152815026,-0.015289052597517588,0.0945579975511949,0.10694238514064927,0.0465500469085935,0.07962757709376253,-0.12948728078718683,-0.05485943966059893,0.03218060905393659,-0.03375753866776525,0.0118839371573968,0.1282596470458379,0.07496417448150192,0.09571179067099383,-0.022410260931518676,-0.053986821854434666,0.07327798525789037,-0.01167274495412003,0.10158732316265043,-0.03489974778574768,0.10428379812715463,-0.05198002452097684,-0.04870838678912148,-0.04258420557126229,-0.08669661289764172,0.02361628964594478,-0.061255857719078266,-0.10450645502563635,0.02567242581720277,-0.05459596618463835,-0.2099575285187908,-0.04043165251749848,0.1652867703105516
expression,-0.19258700773040277,0.09227901118368675,1.0,0.02357196929638429,0.005494446786932804,-0.014488745404816431,0.06548116676061891,-0.05652874919221605,0.04994544626560435,-0.21635933719142436,-0.029175529145974283,-0.0322426342242569,0.05332652610336032,0.13753864601542853,-0.019617588524750918,-0.11931004757309752,-0.07855300330710474,-0.03475078403024385,0.010673893690579285,-0.06674628596937639,-0.04541752826217281,0.13701021302372807,0.09558726215767921,0.07170065045885284,-0.04707433171637492,0.052714633786040216,0.000629157603233974,-0.07468177742672613,0.014923649802855161,-0.14180587377908005,-0.15705461225864054,0.03616415509414697,0.0808010867184577,-0.060568774859429186,0.13770150524007138,0.20591762124340782
e0,-0.009083727389956605,0.1044346152815026,0.02357196929638429,1.0,0.20973865184385632,-0.04408162624355921,-0.0593065638305756,0.09229572225644195,-0.10687114117323093,0.0448104189396453,-0.07738654733684094,0.007763839758359776,0.08260648549872493,-0.06464672008463265,0.0937649498669584,0.02154623102186408,-0.1502897352250977,-0.005022774983607153,0.13384690877257388,-0.034790688053369274,-0.008911048207055459,0.014453760310449188,0.12304877767612901,0.14465065522137133,-0.11691280080687567,-0.09100354616893455,0.00891356541683427,0.07945465595959077,0.0585996559184134,-0.01366012520566972,-0.012570559601601299,-0.005021719277176557,0.03350098969214839,-0.05751206429425562,-0.03225184937829751,-0.01935421240064243
e1,0.15507242946454447,-0.015289052597517588,0.005494446786932804,0.20973865184385632,1.0,-0.036596279597797675,0.026252765055896528,-0.033674807929876,0.12686014765508855,-0.03650279816250488,-0.14245284107839143,-0.29393393357598496,0.08725272439030025,-0.1955285701144445,0.04837036847519115,-0.059720233028664665,-0.06404365995689301,0.04292063095790722,-0.06394065132958174,-0.11900601306207786,0.05888257296069301,0.10483446032437124,0.029714426707068163,0.17490442872044967,-0.0926627492541148,-0.05524940266523912,-0.0948657980217594,-0.01664029917845233,-0.03456768121651739,-0.015522221584702093,-0.12077364016360123,0.1745420976835187,0.16474787858066425,-0.005651733359026174,-0.008933185416594235,0.14837942200436705
e2,-0.09655238379769598,0.0945579975511949,-0.014488745404816431,-0.04408162624355921,-0.036596279597797675,1.0,0.04102994190536533,-0.07697884902027297,-0.19949545877866937,0.17895362881105797,0.1319143383193644,0.32539214825527973,-0.2314151019760995,0.015614454933173096,-0.027980901575622292,0.021066367549575086,0.09514503276024949,-0.2185060475296865,-0.12307423167216747,0.09729947787362615,0.0033253329881120924,-0.03409892652907712,0.01771848130719316,0.06899622899247637,-0.06530360275572211,0.09010620534717317,0.027156414286513768,-0.12554690632237267,0.09527138047746048,-0.09603622133966395,0.14542008226161743,-0.09283300694462843,-0.03638422140067642,0.02115936835066715,-0.033521940992009086,-0.3736421989986856
e3,0.07938293587535994,0.10694238514064927,0.06548116676061891,-0.0593065638305756,0.026252765055896528,0.04102994190536533,1.0,0.10719514886481615,0.0023474446366660018,0.14704470840195888,0.2290766161560619,0.06470285925016121,-0.27918227290371117,0.09234028773275726,-0.05916003053092392,0.24180865117962635,0.029965847654551944,-0.04731405735033514,0.044952497458836026,0.04674195457865351,0.22927320779440352,0.2006511471359867,0.11179546742497762,-0.007741674266474414,-0.04060132462990416,-0.02856063106407829,0.13989926366553296,0.09510017612350183,0.039643504103094,0.03142232365789841,-0.08984652537234689,-0.07075622957263591,0.050222843373044675,-0.20445365751860467,-0.002382826008857763,-0.08570457825303932
e4,0.14526200822937868,0.0465500469085935,-0.05652874919221605,0.09229572225644195,-0.033674807929876,-0.07697884902027297,0.10719514886481615,1.0,0.2335480535857225,0.03933911048370045,0.08039505707536279,0.08557548718495323,0.01690748172744929,-0.007886894305490515,-0.041914282331444036,0.15248478742953234,-0.001348550726091401,-0.0027811013219055936,0.04573187759080354,-0.04458712213308286,0.018928527666421807,0.17819877487845384,0.09192187932599592,-0.20483977628719438,-0.1651330339405423,-0.06404793421849894,0.17496730693575713,0.10550964453989999,0.054253009136993255,0.128028223848892,-0.16489927585248215,0.06885526295691426,0.19761417428762074,0.10027261832075793,-0.06454891591926437,0.01375970962678126
e5,0.0516494018420674,0.07962757709376253,0.04994544626560435,-0.10687114117323093,0.12686014765508855,-0.19949545877866937,0.0023474446366660018,0.2335480535857225,1.0,-0.05917565964042813,0.07679684659192051,0.10507552315463092,-0.027226823641626673,-0.01012421444213454,0.060270556887808246,0.07598687560946776,-0.05673637253572575,-0.032491341061120754,-0.02608389706284276,-0.057591288578151434,-0.01506942100236082,0.11498906689375346,0.06554992590918722,-0.12020864307777093,-0.02551525042001028,0.08775236303289177,0.18397921291468738,0.126108779676944,0.024216464847072593,0.12119654086654574,-0.12021454836245421,0.154284311509157,-0.06790561903010023,-0.06829151271527527,-0.09111721340514166,0.13686974665732685
e6,0.08357487656996128,-0.12948728078718683,-0.21635933719142436,0.0448104189396453,-0.03650279816250488,0.17895362881105797,0.14704470840195888,0.03933911048370045,-0.05917565964042813,1.0,-0.01539553133064913,-0.04642364766526831,0.013120540100883968,-0.05855356971068064,0.046366670377371876,0.14445315774120532,0.06383393937504678,-0.0800654922273423,-0.004315253968851896,0.019623166772494604,0.11315163061094272,0.014896841328049394,-0.0009357902919547578,-0.007138520507158012,0.08893864626011286,-0.09576332875553414,0.03754795220201542,-0.022082974901074786,0.024122969210480766,0.022614088365637403,0.022358959553906235,-0.030371678028545082,0.02109199586594528,0.0515668320170011,0.01865727473084456,-0.31116366949306196
e7,-0.023011305171327195,-0.05485943966059893,-0.029175529145974283,-0.07738654733684094,-0.14245284107839143,0.1319143383193644,0.2290766161560619,0.08039505707536279,0.07679684659192051,-0.01539553133064913,1.0,0.14205998010729048,-0.2617821463447555,-0.05943518779287532,-0.1341319340463628,0.13441861305468036,0.060667791699431636,-0.14231757612312682,-0.025543890989859604,0.040039192069466295,0.16615114609060122,-0.05670414343117049,0.03496982820308407,0.01409419586025269,0.004099200760678483,0.06908891192123698,0.16461368254540826,0.011804583412941792,-0.16716179738423687,0.09748494416238501,-0.1586949657809597,-0.08921040589761611,-0.09987099106987904,-0.08924542871448858,0.14101951534751625,-0.223138459791221
