gene,label
MSH3,positive
KRAS,positive
FGFR2,positive
FLT3,positive
MSH6,positive
TEK,positive
FLT1,positive
DDR2,positive
VHL,positive
VEGFA,positive
PTEN,positive
PDCD1,positive
EPHA2,positive
B2M,positive
JAK1,positive
CD274,positive
FBXW7,positive
RAF1,positive
PIK3CA,positive
PDGFRB,positive
MACC1,positive
MSH2,positive
KDR,positive
RET,positive
HLA-DRA,positive
POLE,positive
KIT,positive
ABL1,positive
ALK,positive
MLH1,positive
MET,positive
NRAS,positive
PMS2,positive
VEGFC,positive
FLT4,positive
FRK,positive
TP53,positive
PDGFRA,positive
EGFR,positive
BRAF,positive
VEGFB,positive
MAPK11,positive
JAK2,positive
FGFR1,positive
NTRK1,positive
APC,positive
ACSBG1,negative
SOCS2,negative
RSPO3,negative
CYB5R3,negative
RWDD3,negative
MDC1,negative
RUVBL1,negative
PDE2A,negative
PAPPA,negative
STRA6,negative
PPP1R1B,negative
PTGER4,negative
PLAA,negative
RDH10,negative
ACY3,negative
GRHPR,negative
SPSB2,negative
CALR,negative
QDPR,negative
TBX4,negative
DNAH2,negative
CDH1,negative
ROCK1,negative
KRT71,negative
S100A8,negative
ANOS1,negative
CDK13,negative
ABHD11,negative
INO80E,negative
HKDC1,negative
MBTPS2,negative
OLFM3,negative
EEA1,negative
PUSL1,negative
MSMO1,negative
PPIE,negative
MRPS31,negative
NEUROG3,negative
DZANK1,negative
TMC6,negative
ADAM28,negative
SNU13,negative
TMEM50A,negative
PLG,negative
BEST1,negative
RFC4,negative
PHLDA2,negative
NTM,negative
UBE3C,negative
MSANTD4,negative
UROS,negative
FOXJ2,negative
ASPH,negative
CSNK1D,negative
BEGAIN,negative
CABLES2,negative
OGDH,negative
ATOH1,negative
TMEM94,negative
PCDHAC2,negative
TRPC4,negative
PLVAP,negative
USP32,negative
NDRG1,negative
RPA2,negative
IL4,negative
TPD52,negative
RGPD6,negative
PPP2R2A,negative
CLN6,negative
KLHL2,negative
RGL2,negative
CAMK2A,negative
CDC42BPA,negative
AFF4,negative
AGAP4,negative
ZHX1,negative
TMEM184B,negative
TAF1L,negative
CCP110,negative
PROCR,negative
KLHDC4,negative
IL17A,negative
SPRY4,negative
SLC18B1,negative
BSG,negative
IBA57,negative
CDKAL1,negative
TEPP,negative
SLAIN2,negative
YARS,negative
TMEM38B,negative
GSTA3,negative
RBM23,negative
OMG,negative
ATF5,negative
BBS9,negative
TCEANC2,negative
TSEN15,negative
DLGAP5,negative
CSNK2A1,negative
TEX14,negative
MEGF6,negative
TSSK2,negative
ELP5,negative
SPINK1,negative
DUS1L,negative
HIST3H3,negative
IL5,negative
FZD4,negative
GPN2,negative
CYP2A6,negative
MRPS36,negative
VAMP4,negative
ERF,negative
CENPN,negative
TRIM35,negative
SAMD11,negative
TMEM115,negative
FKBP7,negative
MPI,negative
BTG1,negative
LCA5L,negative
KIF2C,negative
CD70,negative
LOR,negative
MARK4,negative
GPR17,negative
TBC1D2,negative
TMEM161A,negative
VWF,negative
PROX1,negative
CACNG3,negative
OAS3,negative
ZNF408,negative
FASN,negative
EIF3L,negative
PTBP1,negative
CYGB,negative
SIRPB1,negative
PCDH19,negative
NUDT9,negative
RIMKLB,negative
ODF4,negative
LDHAL6A,negative
BMPR1B,negative
HMOX2,negative
APOBEC3H,negative
PLEKHF2,negative
ADAMTSL1,negative
SFT2D2,negative
GGT1,negative
MGLL,negative
MGAM,negative
PKMYT1,negative
PRDX2,negative
KCNIP3,negative
CLEC18A,negative
TMBIM4,negative
FRZB,negative
LDHB,negative
CDH24,negative
ZNF467,negative
GINS1,negative
ZNF606,negative
ZNF532,negative
CCDC149,negative
CPAMD8,negative
CMTM5,negative
TRAF3,negative
ZW10,negative
FAM241B,negative
GBA2,negative
RETREG2,negative
LIN37,negative
GDF11,negative
B4GALT3,negative
TSPYL5,negative
THEM4,negative
ZNF829,negative
INMT-MINDY4,negative
TCN2,negative
HYDIN,negative
ART3,negative
SLITRK5,negative
ATP1B2,negative
BAIAP2,negative
AICDA,negative
YWHAG,negative
P2RY11,negative
MFSD10,negative
TBX10,negative
CALHM4,negative
ZNF114,negative
SYNE3,negative
NPNT,negative
RAPGEF1,negative
ACADM,negative
GRID2,negative
C21orf58,negative
USP43,negative
DAB1,negative
F5,negative
EIF2AK2,negative
SLC16A3,negative
FAF2,negative
COL11A2,negative
CA1,negative
SLC38A2,negative
DDX47,negative
SLC7A6,negative
EID1,negative
SPAG11B,negative
PRAP1,negative
SERPINA9,negative
SCARA5,negative
NBAS,negative
CD63,negative
CD2AP,negative
COMMD6,negative
LARP1B,negative
MPHOSPH6,negative
APPBP2,negative
PACSIN3,negative
ABCA5,negative
RTL10,negative
KRT3,negative
ARID5B,negative
TBC1D31,negative
WBP2NL,negative
NAT14,negative
ABHD2,negative
GAPDH,negative
CCDC106,negative
KDM1B,negative
TRIM42,negative
HLA-DOA,negative
PLAAT1,negative
MUSK,negative
RAD9B,negative
ZNF239,negative
PIP4K2B,negative
PBX3,negative
RGS13,negative
HIST1H2BM,negative
GNL1,negative
RFXANK,negative
CSRP1,negative
SMN2,negative
CTDSPL2,negative
BRF2,negative
PRAG1,negative
POLE3,negative
LACTB2,negative
SLC22A18,negative
KHDRBS3,negative
DBR1,negative
POLI,negative
PRKCQ,negative
CYP46A1,negative
SLC45A2,negative
CDH5,negative
LCE5A,negative
MAGEL2,negative
POLR2I,negative
